(1) P(Spam, all words)
P('Subject:'|Spam) = 0.0016566137116642596
P('1992'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('p'|Spam) = 0.0001274318239741738
P('.'|Spam) = 0.08032452637838756
P('1'|Spam) = 0.0018265228102964913
P('linguists'|Spam) = 1.1803309648025306e-05
P('criticize'|Spam) = 1.1803309648025306e-05
P('accent'|Spam) = 1.1803309648025306e-05
P('position'|Spam) = 0.00016990909863223177
P('meredith'|Spam) = 1.1803309648025306e-05
P('o'brien'|Spam) = 1.1803309648025306e-05
P('westfield'|Spam) = 1.1803309648025306e-05
P('-'|Spam) = 0.04727720669441848
P('victor'|Spam) = 1.1803309648025306e-05
P('raskin'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('linguistics'|Spam) = 1.1803309648025306e-05
P('professor'|Spam) = 1.1803309648025306e-05
P('purdue'|Spam) = 1.1803309648025306e-05
P('university'|Spam) = 4.247727465805794e-05
P('indiana'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('quite'|Spam) = 1.1803309648025306e-05
P('perplex'|Spam) = 1.1803309648025306e-05
P('article'|Spam) = 1.1803309648025306e-05
P('local'|Spam) = 8.495454931611588e-05
P('newspaper'|Spam) = 1.1803309648025306e-05
P('westfield'|Spam) = 1.1803309648025306e-05
P(''s'|Spam) = 0.0026760683034576503
P('petition'|Spam) = 1.1803309648025306e-05
P('prohibit'|Spam) = 1.1803309648025306e-05
P('instructor'|Spam) = 1.1803309648025306e-05
P('accent'|Spam) = 1.1803309648025306e-05
P('teach'|Spam) = 0.00038229547192252146
P('elementary'|Spam) = 1.1803309648025306e-05
P('school'|Spam) = 0.0002548636479483476
P('student'|Spam) = 0.0002123863732902897
P('.'|Spam) = 0.08032452637838756
P('"'|Spam) = 0.008835273128876052
P('has'|Spam) = 8.495454931611588e-05
P('anybody'|Spam) = 8.495454931611588e-05
P('else'|Spam) = 0.0002123863732902897
P('weird'|Spam) = 1.1803309648025306e-05
P('piece'|Spam) = 8.495454931611588e-05
P('newspaper'|Spam) = 1.1803309648025306e-05
P('measure'|Spam) = 1.1803309648025306e-05
P('greek'|Spam) = 1.1803309648025306e-05
P('mayor'|Spam) = 1.1803309648025306e-05
P('small'|Spam) = 0.0002123863732902897
P('massachusett'|Spam) = 1.1803309648025306e-05
P('town'|Spam) = 0.00016990909863223177
P('ethnically'|Spam) = 1.1803309648025306e-05
P('mix'|Spam) = 4.247727465805794e-05
P('population'|Spam) = 1.1803309648025306e-05
P('prevent'|Spam) = 4.247727465805794e-05
P('foreign'|Spam) = 0.00016990909863223177
P('accent'|Spam) = 1.1803309648025306e-05
P('employ'|Spam) = 8.495454931611588e-05
P('grade'|Spam) = 4.247727465805794e-05
P('school'|Spam) = 0.0002548636479483476
P('teacher'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('"'|Spam) = 0.008835273128876052
P('raskin'|Spam) = 1.1803309648025306e-05
P('ask'|Spam) = 0.0005946818452128111
P('subscriber'|Spam) = 1.1803309648025306e-05
P('linguistics'|Spam) = 1.1803309648025306e-05
P('computer'|Spam) = 0.0007221136691869849
P('network'|Spam) = 8.495454931611588e-05
P('week'|Spam) = 0.0005946818452128111
P('.'|Spam) = 0.08032452637838756
P('"'|Spam) = 0.008835273128876052
P('beside'|Spam) = 1.1803309648025306e-05
P('kill'|Spam) = 1.1803309648025306e-05
P('own'|Spam) = 0.0008920227678192168
P('chance'|Spam) = 1.1803309648025306e-05
P('ever'|Spam) = 0.0009345000424772746
P('teach'|Spam) = 0.00038229547192252146
P('grade'|Spam) = 4.247727465805794e-05
P('school'|Spam) = 0.0002548636479483476
P('over'|Spam) = 0.001953954634270665
P(','|Spam) = 0.033004842409311015
P('measure'|Spam) = 1.1803309648025306e-05
P('nonsensical'|Spam) = 1.1803309648025306e-05
P('linguistically'|Spam) = 1.1803309648025306e-05
P('?'|Spam) = 0.0028459774020898818
P('"'|Spam) = 0.008835273128876052
P('query'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('response'|Spam) = 0.0005946818452128111
P('raskin'|Spam) = 1.1803309648025306e-05
P(''s'|Spam) = 0.0026760683034576503
P('question'|Spam) = 0.00029734092260640555
P('world-wide'|Spam) = 1.1803309648025306e-05
P('computer'|Spam) = 0.0007221136691869849
P('network'|Spam) = 8.495454931611588e-05
P('call'|Spam) = 0.0012743182397417382
P('"'|Spam) = 0.008835273128876052
P('linguistnet'|Spam) = 1.1803309648025306e-05
P('"'|Spam) = 0.008835273128876052
P('week'|Spam) = 0.0005946818452128111
P(','|Spam) = 0.033004842409311015
P('far'|Spam) = 1.1803309648025306e-05
P('away'|Spam) = 0.0002548636479483476
P('netherland'|Spam) = 1.1803309648025306e-05
P('australium'|Spam) = 4.247727465805794e-05
P('.'|Spam) = 0.08032452637838756
P('those'|Spam) = 0.0007221136691869849
P('respond'|Spam) = 8.495454931611588e-05
P('nothing'|Spam) = 0.00029734092260640555
P('petition'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('raskin'|Spam) = 1.1803309648025306e-05
P('one'|Spam) = 0.0025911137541415343
P('several'|Spam) = 0.00029734092260640555
P('linguist'|Spam) = 1.1803309648025306e-05
P('assail'|Spam) = 1.1803309648025306e-05
P('petition'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('chastize'|Spam) = 1.1803309648025306e-05
P('education'|Spam) = 4.247727465805794e-05
P('official'|Spam) = 1.1803309648025306e-05
P('-'|Spam) = 0.04727720669441848
P('-'|Spam) = 0.04727720669441848
P('include'|Spam) = 0.0013592727890578541
P('state'|Spam) = 0.0009345000424772746
P('secretary'|Spam) = 1.1803309648025306e-05
P('education'|Spam) = 4.247727465805794e-05
P('-'|Spam) = 0.04727720669441848
P('-'|Spam) = 0.04727720669441848
P('unfound'|Spam) = 1.1803309648025306e-05
P('racist'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('school'|Spam) = 0.0002548636479483476
P('committee'|Spam) = 1.1803309648025306e-05
P(''s'|Spam) = 0.0026760683034576503
P('curriculum'|Spam) = 1.1803309648025306e-05
P('subcommittee'|Spam) = 4.247727465805794e-05
P('wednesday'|Spam) = 1.1803309648025306e-05
P('night'|Spam) = 0.0004672500212386373
P('unanimously'|Spam) = 1.1803309648025306e-05
P('reject'|Spam) = 1.1803309648025306e-05
P('petition'|Spam) = 1.1803309648025306e-05
P('committee'|Spam) = 1.1803309648025306e-05
P(''s'|Spam) = 0.0026760683034576503
P('attorney'|Spam) = 1.1803309648025306e-05
P('tell'|Spam) = 0.00029734092260640555
P('legally'|Spam) = 0.0001274318239741738
P('unenforceable'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('full'|Spam) = 0.0004672500212386373
P('committee'|Spam) = 1.1803309648025306e-05
P('vote'|Spam) = 1.1803309648025306e-05
P('issue'|Spam) = 1.1803309648025306e-05
P('next'|Spam) = 0.00033981819726446353
P('meet'|Spam) = 0.0001274318239741738
P('yet'|Spam) = 0.00016990909863223177
P('schedule'|Spam) = 4.247727465805794e-05
P('.'|Spam) = 0.08032452637838756
P('petition'|Spam) = 1.1803309648025306e-05
P(''s'|Spam) = 0.0026760683034576503
P('organizer'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('laura'|Spam) = 1.1803309648025306e-05
P('lee'|Spam) = 0.00038229547192252146
P('whitten'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('comment'|Spam) = 4.247727465805794e-05
P('subcommittee'|Spam) = 4.247727465805794e-05
P(''s'|Spam) = 0.0026760683034576503
P('decision'|Spam) = 8.495454931611588e-05
P('.'|Spam) = 0.08032452637838756
P('meanwhile'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('eight'|Spam) = 1.1803309648025306e-05
P('linguist'|Spam) = 1.1803309648025306e-05
P('call'|Spam) = 0.0012743182397417382
P('"'|Spam) = 0.008835273128876052
P('linguistnet'|Spam) = 1.1803309648025306e-05
P('"'|Spam) = 0.008835273128876052
P('computer'|Spam) = 0.0007221136691869849
P('conclude'|Spam) = 1.1803309648025306e-05
P('parent'|Spam) = 0.00016990909863223177
P('worry'|Spam) = 0.0001274318239741738
P('elementary'|Spam) = 1.1803309648025306e-05
P('school'|Spam) = 0.0002548636479483476
P('child'|Spam) = 0.0005097272958966952
P('acquire'|Spam) = 8.495454931611588e-05
P('accent'|Spam) = 1.1803309648025306e-05
P('teacher'|Spam) = 1.1803309648025306e-05
P('chance'|Spam) = 1.1803309648025306e-05
P('happen'|Spam) = 4.247727465805794e-05
P('next'|Spam) = 0.00033981819726446353
P('impossible'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('network'|Spam) = 8.495454931611588e-05
P('subscriber'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('barbara'|Spam) = 1.1803309648025306e-05
P('partee'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('chairwoman'|Spam) = 1.1803309648025306e-05
P('linguistic'|Spam) = 1.1803309648025306e-05
P('department'|Spam) = 1.1803309648025306e-05
P('university'|Spam) = 4.247727465805794e-05
P('massachusett'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('concur'|Spam) = 1.1803309648025306e-05
P('conclusion'|Spam) = 1.1803309648025306e-05
P('colleague'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('"'|Spam) = 0.008835273128876052
P('research'|Spam) = 0.0001274318239741738
P('exist'|Spam) = 4.247727465805794e-05
P('matter'|Spam) = 0.0001274318239741738
P('clear'|Spam) = 0.00033981819726446353
P('nearly'|Spam) = 1.1803309648025306e-05
P('impossible'|Spam) = 1.1803309648025306e-05
P('influence'|Spam) = 1.1803309648025306e-05
P('accent'|Spam) = 1.1803309648025306e-05
P('grade'|Spam) = 4.247727465805794e-05
P('school'|Spam) = 0.0002548636479483476
P('teacher'|Spam) = 1.1803309648025306e-05
P('"'|Spam) = 0.008835273128876052
P(','|Spam) = 0.033004842409311015
P('wednesday'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('"'|Spam) = 0.008835273128876052
P('young'|Spam) = 4.247727465805794e-05
P('child'|Spam) = 0.0005097272958966952
P(','|Spam) = 0.033004842409311015
P('almost'|Spam) = 0.0002548636479483476
P('universally'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('pick'|Spam) = 1.1803309648025306e-05
P('accent'|Spam) = 1.1803309648025306e-05
P('peer'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('"'|Spam) = 0.008835273128876052
P('immigrant'|Spam) = 1.1803309648025306e-05
P('family'|Spam) = 0.00016990909863223177
P('where'|Spam) = 0.0002123863732902897
P('child'|Spam) = 0.0005097272958966952
P('bear'|Spam) = 4.247727465805794e-05
P('country'|Spam) = 0.00016990909863223177
P(','|Spam) = 0.033004842409311015
P('child'|Spam) = 0.0005097272958966952
P('adopt'|Spam) = 1.1803309648025306e-05
P('parent'|Spam) = 0.00016990909863223177
P('''|Spam) = 0.0018265228102964913
P('accent'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('many'|Spam) = 0.0016141364370062016
P('agree'|Spam) = 0.0001274318239741738
P('.'|Spam) = 0.08032452637838756
P('"'|Spam) = 0.008835273128876052
P('live'|Spam) = 0.0007221136691869849
P('boston'|Spam) = 4.247727465805794e-05
P(','|Spam) = 0.033004842409311015
P('where'|Spam) = 0.0002123863732902897
P('cut'|Spam) = 0.0001274318239741738
P('local'|Spam) = 8.495454931611588e-05
P('accent'|Spam) = 1.1803309648025306e-05
P('knife'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('play'|Spam) = 8.495454931611588e-05
P('organ'|Spam) = 1.1803309648025306e-05
P('church'|Spam) = 1.1803309648025306e-05
P('arlington'|Spam) = 4.247727465805794e-05
P(','|Spam) = 0.033004842409311015
P('mass'|Spam) = 0.0002548636479483476
P('.'|Spam) = 0.08032452637838756
P(','|Spam) = 0.033004842409311015
P('where'|Spam) = 0.0002123863732902897
P('pastor'|Spam) = 1.1803309648025306e-05
P('wife'|Spam) = 1.1803309648025306e-05
P('midwest'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('"'|Spam) = 0.008835273128876052
P('craig'|Spam) = 1.1803309648025306e-05
P('thiersch'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('linguistics'|Spam) = 1.1803309648025306e-05
P('professor'|Spam) = 1.1803309648025306e-05
P('tilburg'|Spam) = 1.1803309648025306e-05
P('university'|Spam) = 4.247727465805794e-05
P('netherland'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('"'|Spam) = 0.008835273128876052
P('child'|Spam) = 0.0005097272958966952
P('strong'|Spam) = 1.1803309648025306e-05
P('''|Spam) = 0.0018265228102964913
P('towny'|Spam) = 1.1803309648025306e-05
P('''|Spam) = 0.0018265228102964913
P('accent'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('"'|Spam) = 0.008835273128876052
P('"'|Spam) = 0.008835273128876052
P('own'|Spam) = 0.0008920227678192168
P('rather'|Spam) = 4.247727465805794e-05
P('limit'|Spam) = 0.0002123863732902897
P('experience'|Spam) = 0.00029734092260640555
P('child'|Spam) = 0.0005097272958966952
P('n't'|Spam) = 0.0016141364370062016
P('influence'|Spam) = 1.1803309648025306e-05
P('foreign'|Spam) = 0.00016990909863223177
P('accent'|Spam) = 1.1803309648025306e-05
P('parent'|Spam) = 0.00016990909863223177
P(','|Spam) = 0.033004842409311015
P('much'|Spam) = 0.0013167955143997961
P('less'|Spam) = 0.00033981819726446353
P('teacher'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('"'|Spam) = 0.008835273128876052
P('echo'|Spam) = 1.1803309648025306e-05
P('university'|Spam) = 4.247727465805794e-05
P('georgium'|Spam) = 1.1803309648025306e-05
P('professor'|Spam) = 1.1803309648025306e-05
P('michael'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('covington'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('"'|Spam) = 0.008835273128876052
P('kid'|Spam) = 8.495454931611588e-05
P('accent'|Spam) = 1.1803309648025306e-05
P('peer'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('"'|Spam) = 0.008835273128876052
P('agree'|Spam) = 0.0001274318239741738
P('susan'|Spam) = 4.247727465805794e-05
P('ervin'|Spam) = 1.1803309648025306e-05
P('-'|Spam) = 0.04727720669441848
P('tripp'|Spam) = 1.1803309648025306e-05
P('university'|Spam) = 4.247727465805794e-05
P('californium'|Spam) = 8.495454931611588e-05
P('berkeley'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('while'|Spam) = 0.0002548636479483476
P('linguist'|Spam) = 1.1803309648025306e-05
P('roundly'|Spam) = 1.1803309648025306e-05
P('criticize'|Spam) = 1.1803309648025306e-05
P('petition'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('understand'|Spam) = 8.495454931611588e-05
P('why'|Spam) = 0.00033981819726446353
P('parent'|Spam) = 0.00016990909863223177
P('sign'|Spam) = 4.247727465805794e-05
P('.'|Spam) = 0.08032452637838756
P('note'|Spam) = 0.0004247727465805794
P('problem'|Spam) = 0.00033981819726446353
P('college'|Spam) = 4.247727465805794e-05
P('student'|Spam) = 0.0002123863732902897
P('understand'|Spam) = 8.495454931611588e-05
P('foreign'|Spam) = 0.00016990909863223177
P('professor'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('acknowledge'|Spam) = 1.1803309648025306e-05
P('teacher'|Spam) = 1.1803309648025306e-05
P(''s'|Spam) = 0.0026760683034576503
P('english'|Spam) = 1.1803309648025306e-05
P('understandable'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('existence'|Spam) = 1.1803309648025306e-05
P('accent'|Spam) = 1.1803309648025306e-05
P('reason'|Spam) = 0.0002123863732902897
P('rule'|Spam) = 8.495454931611588e-05
P('hire'|Spam) = 1.1803309648025306e-05
P('instructor'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('.'|Spam) = 0.08032452637838756
P('"'|Spam) = 0.008835273128876052
P('own'|Spam) = 0.0008920227678192168
P('opinion'|Spam) = 1.1803309648025306e-05
P('legitimate'|Spam) = 0.0001274318239741738
P('require'|Spam) = 0.00033981819726446353
P('teacher'|Spam) = 1.1803309648025306e-05
P('understandable'|Spam) = 1.1803309648025306e-05
P('student'|Spam) = 0.0002123863732902897
P(','|Spam) = 0.033004842409311015
P('presumably'|Spam) = 1.1803309648025306e-05
P('normal'|Spam) = 1.1803309648025306e-05
P('job'|Spam) = 0.0007221136691869849
P('qualification'|Spam) = 1.1803309648025306e-05
P('require'|Spam) = 0.00033981819726446353
P('petition'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('"'|Spam) = 0.008835273128876052
P('partee'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('umass'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('foreign'|Spam) = 0.00016990909863223177
P('instructor'|Spam) = 1.1803309648025306e-05
P('professor'|Spam) = 1.1803309648025306e-05
P('screen'|Spam) = 4.247727465805794e-05
P('assure'|Spam) = 1.1803309648025306e-05
P('english'|Spam) = 1.1803309648025306e-05
P('understand'|Spam) = 8.495454931611588e-05
P('.'|Spam) = 0.08032452637838756
P('"'|Spam) = 0.008835273128876052
P('one'|Spam) = 0.0025911137541415343
P('ever'|Spam) = 0.0009345000424772746
P('disqualify'|Spam) = 1.1803309648025306e-05
P('accent'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('"'|Spam) = 0.008835273128876052
P('['|Spam) = 0.0028884546767479397
P('end'|Spam) = 0.0001274318239741738
P('newpaper'|Spam) = 1.1803309648025306e-05
P('article'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P(']'|Spam) = 0.0027610228527737662
P('same'|Spam) = 0.00029734092260640555
P('paper'|Spam) = 0.00038229547192252146
P(','|Spam) = 0.033004842409311015
P('nice'|Spam) = 8.495454931611588e-05
P('column'|Spam) = 1.1803309648025306e-05
P('william'|Spam) = 1.1803309648025306e-05
P('raspberry'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('much'|Spam) = 0.0013167955143997961
P('repeat'|Spam) = 1.1803309648025306e-05
P('thing'|Spam) = 0.00029734092260640555
P('''|Spam) = 0.0018265228102964913
P('ve'|Spam) = 0.0004247727465805794
P('over'|Spam) = 0.001953954634270665
P('net'|Spam) = 0.0005946818452128111
P(';'|Spam) = 0.00016990909863223177
P('extract'|Spam) = 8.495454931611588e-05
P('here'|Spam) = 0.0006796363945289271
P('bite'|Spam) = 4.247727465805794e-05
P('end'|Spam) = 0.0001274318239741738
P(':'|Spam) = 0.008410500382295473
P('"'|Spam) = 0.008835273128876052
P('one'|Spam) = 0.0025911137541415343
P('teach'|Spam) = 0.00038229547192252146
P('french'|Spam) = 1.1803309648025306e-05
P('german'|Spam) = 1.1803309648025306e-05
P('-'|Spam) = 0.04727720669441848
P('accent'|Spam) = 1.1803309648025306e-05
P('professor'|Spam) = 1.1803309648025306e-05
P('amuse'|Spam) = 1.1803309648025306e-05
P('us'|Spam) = 0.002123863732902897
P('talk'|Spam) = 0.0002548636479483476
P('"'|Spam) = 0.008835273128876052
P('consonant'|Spam) = 1.1803309648025306e-05
P('wowel'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('"'|Spam) = 0.008835273128876052
P('understand'|Spam) = 8.495454931611588e-05
P('why'|Spam) = 0.00033981819726446353
P('parent'|Spam) = 0.00016990909863223177
P('wary'|Spam) = 1.1803309648025306e-05
P('youngster'|Spam) = 1.1803309648025306e-05
P('teach'|Spam) = 0.00038229547192252146
P('read'|Spam) = 0.0008070682185031008
P('teacher'|Spam) = 1.1803309648025306e-05
P('whose'|Spam) = 4.247727465805794e-05
P('pronunciation'|Spam) = 1.1803309648025306e-05
P('too'|Spam) = 0.00033981819726446353
P('far'|Spam) = 1.1803309648025306e-05
P('standard'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('nation'|Spam) = 1.1803309648025306e-05
P('thousand'|Spam) = 0.0005522045705547532
P('accent'|Spam) = 1.1803309648025306e-05
P('is'|Spam) = 0.00016990909863223177
P('too'|Spam) = 0.00033981819726446353
P('far'|Spam) = 1.1803309648025306e-05
P('standard'|Spam) = 1.1803309648025306e-05
P('?'|Spam) = 0.0028459774020898818
P('determine'|Spam) = 1.1803309648025306e-05
P('?'|Spam) = 0.0028459774020898818
P('much'|Spam) = 0.0013167955143997961
P('whole'|Spam) = 1.1803309648025306e-05
P('business'|Spam) = 0.0011893636904256222
P('simple'|Spam) = 0.0005097272958966952
P('prejudice'|Spam) = 1.1803309648025306e-05
P('against'|Spam) = 0.0002123863732902897
P('hispanic'|Spam) = 1.1803309648025306e-05
P('teacher'|Spam) = 1.1803309648025306e-05
P('?'|Spam) = 0.0028459774020898818
P('one'|Spam) = 0.0025911137541415343
P('draw'|Spam) = 4.247727465805794e-05
P('line'|Spam) = 0.0006796363945289271
P('between'|Spam) = 0.0001274318239741738
P('legitimate'|Spam) = 0.0001274318239741738
