(1) P(Spam, all words)
P('Subject:'|Spam) = 0.0016566137116642596
P('term'|Spam) = 4.247727465805794e-05
P('correspond'|Spam) = 1.1803309648025306e-05
P('?'|Spam) = 0.0028459774020898818
P('3'|Spam) = 0.002336250106193187
P('.'|Spam) = 0.08032452637838756
P('slush'|Spam) = 1.1803309648025306e-05
P(':'|Spam) = 0.008410500382295473
P('.'|Spam) = 0.08032452637838756
P('4'|Spam) = 0.0005522045705547532
P('.'|Spam) = 0.08032452637838756
P('avalanche'|Spam) = 1.1803309648025306e-05
P(':'|Spam) = 0.008410500382295473
P('word'|Spam) = 0.00038229547192252146
P('seem'|Spam) = 4.247727465805794e-05
P('refer'|Spam) = 8.495454931611588e-05
P('snow'|Spam) = 1.1803309648025306e-05
P('avalanch'|Spam) = 1.1803309648025306e-05
P('begin'|Spam) = 0.0002548636479483476
P('.'|Spam) = 0.08032452637838756
P('5'|Spam) = 0.0016141364370062016
P('.'|Spam) = 0.08032452637838756
P('blizzard'|Spam) = 1.1803309648025306e-05
P(':'|Spam) = 0.008410500382295473
P('first'|Spam) = 0.0006371591198708691
P('edition'|Spam) = 1.1803309648025306e-05
P('oed'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('"'|Spam) = 0.008835273128876052
P('modern'|Spam) = 1.1803309648025306e-05
P('word'|Spam) = 0.00038229547192252146
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('apply'|Spam) = 0.0002123863732902897
P(''s'|Spam) = 0.0026760683034576503
P('now-squall'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('''|Spam) = 0.0018265228102964913
P('word'|Spam) = 0.00038229547192252146
P('become'|Spam) = 0.0005097272958966952
P('general'|Spam) = 0.0001274318239741738
P('american'|Spam) = 0.0005097272958966952
P('newspaper'|Spam) = 1.1803309648025306e-05
P('during'|Spam) = 1.1803309648025306e-05
P('severe'|Spam) = 1.1803309648025306e-05
P('winter'|Spam) = 1.1803309648025306e-05
P('1880-81'|Spam) = 1.1803309648025306e-05
P(';'|Spam) = 0.00016990909863223177
P('accord'|Spam) = 8.495454931611588e-05
P('_'|Spam) = 0.1741993033726956
P('milwaukee'|Spam) = 1.1803309648025306e-05
P('republican'|Spam) = 1.1803309648025306e-05
P('_'|Spam) = 0.1741993033726956
P('='|Spam) = 0.0038229547192252145
P('ff'|Spam) = 1.1803309648025306e-05
P('4'|Spam) = 0.0005522045705547532
P('march'|Spam) = 1.1803309648025306e-05
P('1881'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('apply'|Spam) = 0.0002123863732902897
P('_'|Spam) = 0.1741993033726956
P('northern'|Spam) = 1.1803309648025306e-05
P('vindicator'|Spam) = 1.1803309648025306e-05
P('_'|Spam) = 0.1741993033726956
P('('|Spam) = 0.004162772916489678
P('esthersville'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('iowa'|Spam) = 1.1803309648025306e-05
P(')'|Spam) = 0.004714977487044431
P('between'|Spam) = 0.0001274318239741738
P('1860'|Spam) = 1.1803309648025306e-05
P('1870'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('apparently'|Spam) = 1.1803309648025306e-05
P('colloquial'|Spam) = 1.1803309648025306e-05
P('west'|Spam) = 4.247727465805794e-05
P('much'|Spam) = 0.0013167955143997961
P('earlier'|Spam) = 4.247727465805794e-05
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('"'|Spam) = 0.008835273128876052
P('latest'|Spam) = 0.0001274318239741738
P('edition'|Spam) = 1.1803309648025306e-05
P('oed'|Spam) = 1.1803309648025306e-05
P('citation'|Spam) = 4.247727465805794e-05
P('1859'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('b'|Spam) = 0.0002123863732902897
P('.'|Spam) = 0.08032452637838756
P('doubtful'|Spam) = 1.1803309648025306e-05
P('case'|Spam) = 0.0001274318239741738
P(':'|Spam) = 0.008410500382295473
P('1'|Spam) = 0.0018265228102964913
P('.'|Spam) = 0.08032452637838756
P('cornice'|Spam) = 1.1803309648025306e-05
P(':'|Spam) = 0.008410500382295473
P('really'|Spam) = 0.00029734092260640555
P('architectural'|Spam) = 1.1803309648025306e-05
P('term'|Spam) = 4.247727465805794e-05
P(','|Spam) = 0.033004842409311015
P('mean'|Spam) = 8.495454931611588e-05
P('"'|Spam) = 0.008835273128876052
P('crown'|Spam) = 1.1803309648025306e-05
P('"'|Spam) = 0.008835273128876052
P('build'|Spam) = 8.495454931611588e-05
P('.'|Spam) = 0.08032452637838756
P('refer'|Spam) = 8.495454931611588e-05
P('type'|Spam) = 0.0006371591198708691
P('snow'|Spam) = 1.1803309648025306e-05
P('formation'|Spam) = 1.1803309648025306e-05
P('merely'|Spam) = 4.247727465805794e-05
P('figurative'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('2'|Spam) = 0.002081386458244839
P('.'|Spam) = 0.08032452637838756
P('firn'|Spam) = 1.1803309648025306e-05
P(':'|Spam) = 0.008410500382295473
P('certainly'|Spam) = 1.1803309648025306e-05
P('rare'|Spam) = 1.1803309648025306e-05
P('specialize'|Spam) = 4.247727465805794e-05
P('word'|Spam) = 0.00038229547192252146
P('.'|Spam) = 0.08032452637838756
P('oed'|Spam) = 1.1803309648025306e-05
P('mark'|Spam) = 1.1803309648025306e-05
P('"'|Spam) = 0.008835273128876052
P('naturalize'|Spam) = 1.1803309648025306e-05
P('"'|Spam) = 0.008835273128876052
P(';'|Spam) = 0.00016990909863223177
P('synonym'|Spam) = 1.1803309648025306e-05
P('_'|Spam) = 0.1741993033726956
P('n'|Spam) = 0.0002123863732902897
P('''|Spam) = 0.0018265228102964913
P('ev'|Spam) = 1.1803309648025306e-05
P('''|Spam) = 0.0018265228102964913
P('e'|Spam) = 0.0013167955143997961
P('_'|Spam) = 0.1741993033726956
P('mark'|Spam) = 1.1803309648025306e-05
P('same'|Spam) = 0.00029734092260640555
P('.'|Spam) = 0.08032452637838756
P('accept'|Spam) = 0.0004672500212386373
P('neither'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('3'|Spam) = 0.002336250106193187
P('.'|Spam) = 0.08032452637838756
P('drift'|Spam) = 1.1803309648025306e-05
P(':'|Spam) = 0.008410500382295473
P('mean'|Spam) = 8.495454931611588e-05
P(''s'|Spam) = 0.0026760683034576503
P('now-drift'|Spam) = 1.1803309648025306e-05
P('''|Spam) = 0.0018265228102964913
P('word'|Spam) = 0.00038229547192252146
P('attest'|Spam) = 1.1803309648025306e-05
P('c'|Spam) = 0.00029734092260640555
P('.'|Spam) = 0.08032452637838756
P('1300'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('('|Spam) = 0.004162772916489678
P('"'|Spam) = 0.008835273128876052
P('castel'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('quitter'|Spam) = 1.1803309648025306e-05
P('e'|Spam) = 0.0013167955143997961
P('pan'|Spam) = 1.1803309648025306e-05
P('snau'|Spam) = 1.1803309648025306e-05
P('drif'|Spam) = 1.1803309648025306e-05
P('['|Spam) = 0.0028884546767479397
P('t'|Spam) = 0.0005946818452128111
P(']'|Spam) = 0.0027610228527737662
P('.'|Spam) = 0.08032452637838756
P('"'|Spam) = 0.008835273128876052
P(')'|Spam) = 0.004714977487044431
P('clearly'|Spam) = 8.495454931611588e-05
P('too'|Spam) = 0.00033981819726446353
P('many'|Spam) = 0.0016141364370062016
P('relate'|Spam) = 0.00016990909863223177
P('senses'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('"'|Spam) = 0.008835273128876052
P('off-course'|Spam) = 1.1803309648025306e-05
P('movement'|Spam) = 1.1803309648025306e-05
P('boat'|Spam) = 0.0001274318239741738
P('"'|Spam) = 0.008835273128876052
P('"'|Spam) = 0.008835273128876052
P('gist'|Spam) = 1.1803309648025306e-05
P('someone'|Spam) = 0.00029734092260640555
P('.'|Spam) = 0.08032452637838756
P('"'|Spam) = 0.008835273128876052
P('drift'|Spam) = 1.1803309648025306e-05
P('relate'|Spam) = 0.00016990909863223177
P('"'|Spam) = 0.008835273128876052
P('drive'|Spam) = 8.495454931611588e-05
P('"'|Spam) = 0.008835273128876052
P('.'|Spam) = 0.08032452637838756
P('compare'|Spam) = 0.00016990909863223177
P('bobaljik'|Spam) = 1.1803309648025306e-05
P(''s'|Spam) = 0.0026760683034576503
P('discussion'|Spam) = 1.1803309648025306e-05
P('yup'|Spam) = 1.1803309648025306e-05
P('''|Spam) = 0.0018265228102964913
P('ik'|Spam) = 1.1803309648025306e-05
P('_'|Spam) = 0.1741993033726956
P('natquik'|Spam) = 1.1803309648025306e-05
P('_'|Spam) = 0.1741993033726956
P(''d'|Spam) = 1.1803309648025306e-05
P('rift'|Spam) = 1.1803309648025306e-05
P('snow'|Spam) = 1.1803309648025306e-05
P('''|Spam) = 0.0018265228102964913
P('.'|Spam) = 0.08032452637838756
P('4'|Spam) = 0.0005522045705547532
P('.'|Spam) = 0.08032452637838756
P('flurry'|Spam) = 1.1803309648025306e-05
P(':'|Spam) = 0.008410500382295473
P('word'|Spam) = 0.00038229547192252146
P('means'|Spam) = 0.0001274318239741738
P('primarily'|Spam) = 1.1803309648025306e-05
P('''|Spam) = 0.0018265228102964913
P('gust'|Spam) = 1.1803309648025306e-05
P('''|Spam) = 0.0018265228102964913
P(''s'|Spam) = 0.0026760683034576503
P('quall'|Spam) = 1.1803309648025306e-05
P('''|Spam) = 0.0018265228102964913
P('.'|Spam) = 0.08032452637838756
P('washington'|Spam) = 0.0001274318239741738
P('irving'|Spam) = 1.1803309648025306e-05
P('cite'|Spam) = 4.247727465805794e-05
P('1836'|Spam) = 1.1803309648025306e-05
P('talk'|Spam) = 0.0002548636479483476
P('"'|Spam) = 0.008835273128876052
P('flurry'|Spam) = 1.1803309648025306e-05
P('snow'|Spam) = 1.1803309648025306e-05
P('"'|Spam) = 0.008835273128876052
P(','|Spam) = 0.033004842409311015
P('case'|Spam) = 0.0001274318239741738
P('flurry'|Spam) = 1.1803309648025306e-05
P('rain'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('bird'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('conclusion'|Spam) = 1.1803309648025306e-05
P(':'|Spam) = 0.008410500382295473
P('primarily'|Spam) = 1.1803309648025306e-05
P('snow'|Spam) = 1.1803309648025306e-05
P('word'|Spam) = 0.00038229547192252146
P('.'|Spam) = 0.08032452637838756
P('5'|Spam) = 0.0016141364370062016
P('.'|Spam) = 0.08032452637838756
P('sinkhole'|Spam) = 1.1803309648025306e-05
P(':'|Spam) = 0.008410500382295473
P('bobaljik'|Spam) = 1.1803309648025306e-05
P('reject'|Spam) = 1.1803309648025306e-05
P('_'|Spam) = 0.1741993033726956
P('muruaneq'|Spam) = 1.1803309648025306e-05
P('_'|Spam) = 0.1741993033726956
P(''s'|Spam) = 0.0026760683034576503
P('oft'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('deep'|Spam) = 1.1803309648025306e-05
P('snow'|Spam) = 1.1803309648025306e-05
P('''|Spam) = 0.0018265228102964913
P(','|Spam) = 0.033004842409311015
P('offer'|Spam) = 0.0010194545917933905
P('"'|Spam) = 0.008835273128876052
P('sinkhole'|Spam) = 1.1803309648025306e-05
P('"'|Spam) = 0.008835273128876052
P('roughly'|Spam) = 1.1803309648025306e-05
P('comparable'|Spam) = 1.1803309648025306e-05
P('('|Spam) = 0.004162772916489678
P('presumably'|Spam) = 1.1803309648025306e-05
P('unacceptable'|Spam) = 1.1803309648025306e-05
P(')'|Spam) = 0.004714977487044431
P('.'|Spam) = 0.08032452637838756
P('='|Spam) = 0.0038229547192252145
P('20'|Spam) = 0.0004672500212386373
P('"'|Spam) = 0.008835273128876052
P('sinkhole'|Spam) = 1.1803309648025306e-05
P('"'|Spam) = 0.008835273128876052
P('oed'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('understand'|Spam) = 8.495454931611588e-05
P('sinkhole'|Spam) = 1.1803309648025306e-05
P('depression'|Spam) = 1.1803309648025306e-05
P('liquid'|Spam) = 1.1803309648025306e-05
P('collect'|Spam) = 0.00033981819726446353
P(','|Spam) = 0.033004842409311015
P('especially'|Spam) = 8.495454931611588e-05
P('grind'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('anything'|Spam) = 0.0002123863732902897
P('snow'|Spam) = 1.1803309648025306e-05
P('per'|Spam) = 0.0013592727890578541
P('se'|Spam) = 8.495454931611588e-05
P('.'|Spam) = 0.08032452637838756
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('c'|Spam) = 0.00029734092260640555
P('.'|Spam) = 0.08032452637838756
P('special'|Spam) = 0.0007645909438450429
P('case'|Spam) = 0.0001274318239741738
P(':'|Spam) = 0.008410500382295473
P('1'|Spam) = 0.0018265228102964913
P('.'|Spam) = 0.08032452637838756
P('frost'|Spam) = 1.1803309648025306e-05
P(':'|Spam) = 0.008410500382295473
P('leave'|Spam) = 0.0002548636479483476
P('"'|Spam) = 0.008835273128876052
P('frost'|Spam) = 1.1803309648025306e-05
P('"'|Spam) = 0.008835273128876052
P('english'|Spam) = 1.1803309648025306e-05
P('list'|Spam) = 0.0024212046555093024
P(','|Spam) = 0.033004842409311015
P('since'|Spam) = 8.495454931611588e-05
P('freeze'|Spam) = 1.1803309648025306e-05
P('dew'|Spam) = 1.1803309648025306e-05
P('ice'|Spam) = 0.0001274318239741738
P('snow'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('omit'|Spam) = 1.1803309648025306e-05
P('"'|Spam) = 0.008835273128876052
P('rime'|Spam) = 1.1803309648025306e-05
P('"'|Spam) = 0.008835273128876052
P('"'|Spam) = 0.008835273128876052
P('hoarfrost'|Spam) = 1.1803309648025306e-05
P('"'|Spam) = 0.008835273128876052
P('('|Spam) = 0.004162772916489678
P('"'|Spam) = 0.008835273128876052
P('hoar'|Spam) = 1.1803309648025306e-05
P('"'|Spam) = 0.008835273128876052
P('figurative'|Spam) = 1.1803309648025306e-05
P('old'|Spam) = 0.0002548636479483476
P('age'|Spam) = 0.0004247727465805794
P(')'|Spam) = 0.004714977487044431
P('.'|Spam) = 0.08032452637838756
P('accordingly'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('urge'|Spam) = 1.1803309648025306e-05
P('word'|Spam) = 0.00038229547192252146
P('frost'|Spam) = 1.1803309648025306e-05
P('omit'|Spam) = 1.1803309648025306e-05
P('eskimo'|Spam) = 1.1803309648025306e-05
P('list'|Spam) = 0.0024212046555093024
P('.'|Spam) = 0.08032452637838756
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('*'|Spam) = 0.07276357148925325
P('d'|Spam) = 8.495454931611588e-05
