(1) P(Spam, all words)
P('Subject:'|Spam) = 0.0016566137116642596
P('-'|Spam) = 0.04727720669441848
P('most'|Spam) = 0.0014867046130320279
P('important'|Spam) = 0.00029734092260640555
P('-'|Spam) = 0.04727720669441848
P('accept'|Spam) = 0.0004672500212386373
P('standardize'|Spam) = 1.1803309648025306e-05
P('pronunciation'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('"'|Spam) = 0.008835273128876052
P('mayor'|Spam) = 1.1803309648025306e-05
P('city'|Spam) = 0.0007221136691869849
P(','|Spam) = 0.033004842409311015
P('greek'|Spam) = 1.1803309648025306e-05
P('immigrant'|Spam) = 1.1803309648025306e-05
P('accent'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('proponent'|Spam) = 1.1803309648025306e-05
P('english'|Spam) = 1.1803309648025306e-05
P('-'|Spam) = 0.04727720669441848
P('law'|Spam) = 0.00016990909863223177
P(','|Spam) = 0.033004842409311015
P('chair'|Spam) = 1.1803309648025306e-05
P('city'|Spam) = 0.0007221136691869849
P(''s'|Spam) = 0.0026760683034576503
P('school'|Spam) = 0.0002548636479483476
P('committee'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('vocally'|Spam) = 1.1803309648025306e-05
P('favor'|Spam) = 4.247727465805794e-05
P('petition'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('denounce'|Spam) = 1.1803309648025306e-05
P('state'|Spam) = 0.0009345000424772746
P(''s'|Spam) = 0.0026760683034576503
P('secretary'|Spam) = 1.1803309648025306e-05
P('education'|Spam) = 4.247727465805794e-05
P(','|Spam) = 0.033004842409311015
P('piedad'|Spam) = 1.1803309648025306e-05
P('robertson'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('native'|Spam) = 1.1803309648025306e-05
P('cuba'|Spam) = 1.1803309648025306e-05
P('former'|Spam) = 1.1803309648025306e-05
P('kindergarten'|Spam) = 1.1803309648025306e-05
P('teacher'|Spam) = 1.1803309648025306e-05
P('herself'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('immediately'|Spam) = 4.247727465805794e-05
P('statement'|Spam) = 1.1803309648025306e-05
P('proposal'|Spam) = 1.1803309648025306e-05
P('"'|Spam) = 0.008835273128876052
P('appear'|Spam) = 8.495454931611588e-05
P('discrimination'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('plain'|Spam) = 0.0002548636479483476
P('simple'|Spam) = 0.0005097272958966952
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('petition'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('instead'|Spam) = 0.0002548636479483476
P('foster'|Spam) = 1.1803309648025306e-05
P('acceptance'|Spam) = 1.1803309648025306e-05
P('cultural'|Spam) = 1.1803309648025306e-05
P('diversity'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('appear'|Spam) = 8.495454931611588e-05
P('encourage'|Spam) = 4.247727465805794e-05
P('bigotry'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('racism'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('discrimination'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('"'|Spam) = 0.008835273128876052
P('mayor'|Spam) = 1.1803309648025306e-05
P('phone'|Spam) = 0.0019114773596126072
P('interview'|Spam) = 4.247727465805794e-05
P('june'|Spam) = 1.1803309648025306e-05
P('30'|Spam) = 0.0006796363945289271
P('dismiss'|Spam) = 8.495454931611588e-05
P('attack'|Spam) = 4.247727465805794e-05
P('"'|Spam) = 0.008835273128876052
P('bovine'|Spam) = 1.1803309648025306e-05
P('scatology'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('"'|Spam) = 0.008835273128876052
P('state'|Spam) = 0.0009345000424772746
P(''s'|Spam) = 0.0026760683034576503
P('attorney'|Spam) = 1.1803309648025306e-05
P('general'|Spam) = 0.0001274318239741738
P('offer'|Spam) = 0.0010194545917933905
P('th'|Spam) = 1.1803309648025306e-05
P('opinion'|Spam) = 1.1803309648025306e-05
P('plan'|Spam) = 0.0009345000424772746
P('almost'|Spam) = 0.0002548636479483476
P('certainly'|Spam) = 1.1803309648025306e-05
P('violate'|Spam) = 1.1803309648025306e-05
P('state'|Spam) = 0.0009345000424772746
P(''s'|Spam) = 0.0026760683034576503
P('anti-discrimination'|Spam) = 1.1803309648025306e-05
P('law'|Spam) = 0.00016990909863223177
P('.'|Spam) = 0.08032452637838756
P('article'|Spam) = 1.1803309648025306e-05
P('today'|Spam) = 0.0011468864157675644
P('('|Spam) = 0.004162772916489678
P('both'|Spam) = 0.0001274318239741738
P('article'|Spam) = 1.1803309648025306e-05
P('''|Spam) = 0.0018265228102964913
P('m'|Spam) = 0.0004247727465805794
P('quote'|Spam) = 4.247727465805794e-05
P('daily'|Spam) = 4.247727465805794e-05
P('hampshire'|Spam) = 1.1803309648025306e-05
P('gazette'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('northampton'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('though'|Spam) = 0.00016990909863223177
P('mention'|Spam) = 0.0001274318239741738
P('sunday'|Spam) = 1.1803309648025306e-05
P(''s'|Spam) = 0.0026760683034576503
P('nytime'|Spam) = 1.1803309648025306e-05
P(')'|Spam) = 0.004714977487044431
P('mayor'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('george'|Spam) = 1.1803309648025306e-05
P('varela'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('call'|Spam) = 0.0012743182397417382
P('over'|Spam) = 0.001953954634270665
P('country'|Spam) = 0.00016990909863223177
P(','|Spam) = 0.033004842409311015
P('mostly'|Spam) = 1.1803309648025306e-05
P('agree'|Spam) = 0.0001274318239741738
P('point'|Spam) = 8.495454931611588e-05
P('view'|Spam) = 4.247727465805794e-05
P('.'|Spam) = 0.08032452637838756
P('two'|Spam) = 0.00016990909863223177
P('parent'|Spam) = 0.00016990909863223177
P('start'|Spam) = 0.0007645909438450429
P('drive'|Spam) = 8.495454931611588e-05
P('express'|Spam) = 0.0008495454931611588
P('great'|Spam) = 0.0002123863732902897
P('surprise'|Spam) = 1.1803309648025306e-05
P(';'|Spam) = 0.00016990909863223177
P('wife'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('"'|Spam) = 0.008835273128876052
P('spanish'|Spam) = 1.1803309648025306e-05
P('portuguese'|Spam) = 1.1803309648025306e-05
P('descent'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('become'|Spam) = 0.0005097272958966952
P('distraught'|Spam) = 1.1803309648025306e-05
P('over'|Spam) = 0.001953954634270665
P('accusation'|Spam) = 1.1803309648025306e-05
P('bigotry'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('avoid'|Spam) = 8.495454931611588e-05
P('.'|Spam) = 0.08032452637838756
P('"'|Spam) = 0.008835273128876052
P('city'|Spam) = 0.0007221136691869849
P('36000'|Spam) = 1.1803309648025306e-05
P('population'|Spam) = 1.1803309648025306e-05
P('broad'|Spam) = 1.1803309648025306e-05
P('ethnic'|Spam) = 1.1803309648025306e-05
P('mix'|Spam) = 4.247727465805794e-05
P('.'|Spam) = 0.08032452637838756
P('most'|Spam) = 0.0014867046130320279
P('one'|Spam) = 0.0025911137541415343
P('read'|Spam) = 0.0008070682185031008
P('english'|Spam) = 1.1803309648025306e-05
P('movement'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P(''s'|Spam) = 0.0026760683034576503
P('great'|Spam) = 0.0002123863732902897
P('deal'|Spam) = 0.0002548636479483476
P('debate'|Spam) = 1.1803309648025306e-05
P('whether'|Spam) = 1.1803309648025306e-05
P(''s'|Spam) = 0.0026760683034576503
P('racist'|Spam) = 1.1803309648025306e-05
P('xenophobic'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('etc'|Spam) = 0.0004247727465805794
P('.'|Spam) = 0.08032452637838756
P(','|Spam) = 0.033004842409311015
P('little'|Spam) = 0.0002548636479483476
P('fundamental'|Spam) = 1.1803309648025306e-05
P('question'|Spam) = 0.00029734092260640555
P('raise'|Spam) = 4.247727465805794e-05
P(','|Spam) = 0.033004842409311015
P('namely'|Spam) = 1.1803309648025306e-05
P('fact'|Spam) = 0.0002123863732902897
P('effect'|Spam) = 1.1803309648025306e-05
P('acquisition'|Spam) = 1.1803309648025306e-05
P('english'|Spam) = 1.1803309648025306e-05
P('child'|Spam) = 0.0005097272958966952
P('class'|Spam) = 0.0002548636479483476
P('?'|Spam) = 0.0028459774020898818
P('"'|Spam) = 0.008835273128876052
P('throughout'|Spam) = 0.0001274318239741738
P('week'|Spam) = 0.0005946818452128111
P(','|Spam) = 0.033004842409311015
P('forward'|Spam) = 1.1803309648025306e-05
P('response'|Spam) = 0.0005946818452128111
P('barbara'|Spam) = 1.1803309648025306e-05
P('update'|Spam) = 4.247727465805794e-05
P('story'|Spam) = 0.0002123863732902897
P('thing'|Spam) = 0.00029734092260640555
P('evolve'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('july'|Spam) = 1.1803309648025306e-05
P('8th'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('contact'|Spam) = 0.0004672500212386373
P('reporter'|Spam) = 1.1803309648025306e-05
P('westfield'|Spam) = 1.1803309648025306e-05
P('paper'|Spam) = 0.00038229547192252146
P(','|Spam) = 0.033004842409311015
P('ask'|Spam) = 0.0005946818452128111
P('('|Spam) = 0.004162772916489678
P(','|Spam) = 0.033004842409311015
P('course'|Spam) = 0.0002123863732902897
P(','|Spam) = 0.033004842409311015
P('receive'|Spam) = 0.002038909183586781
P(')'|Spam) = 0.004714977487044431
P('permission'|Spam) = 1.1803309648025306e-05
P('material'|Spam) = 0.0002548636479483476
P('interview'|Spam) = 4.247727465805794e-05
P('paper'|Spam) = 0.00038229547192252146
P('.'|Spam) = 0.08032452637838756
P('july'|Spam) = 1.1803309648025306e-05
P('9th'|Spam) = 4.247727465805794e-05
P(','|Spam) = 0.033004842409311015
P('barbara'|Spam) = 1.1803309648025306e-05
P('write'|Spam) = 0.0004247727465805794
P(':'|Spam) = 0.008410500382295473
P('"'|Spam) = 0.008835273128876052
P(','|Spam) = 0.033004842409311015
P('hear'|Spam) = 0.00033981819726446353
P('second'|Spam) = 4.247727465805794e-05
P('hand'|Spam) = 1.1803309648025306e-05
P('school'|Spam) = 0.0002548636479483476
P('committee'|Spam) = 1.1803309648025306e-05
P('subcommittee'|Spam) = 4.247727465805794e-05
P('thereof'|Spam) = 1.1803309648025306e-05
P('vote'|Spam) = 1.1803309648025306e-05
P('morn'|Spam) = 1.1803309648025306e-05
P('3'|Spam) = 0.002336250106193187
P('-'|Spam) = 0.04727720669441848
P('0'|Spam) = 0.00785829581174072
P('adopt'|Spam) = 1.1803309648025306e-05
P('petitioner'|Spam) = 1.1803309648025306e-05
P('''|Spam) = 0.0018265228102964913
P('request'|Spam) = 0.0005097272958966952
P('.'|Spam) = 0.08032452637838756
P('''|Spam) = 0.0018265228102964913
P('ll'|Spam) = 0.00033981819726446353
P('even'|Spam) = 0.0010619318664514485
P(''s'|Spam) = 0.0026760683034576503
P('news'|Spam) = 4.247727465805794e-05
P('.'|Spam) = 0.08032452637838756
P('expect'|Spam) = 0.0002123863732902897
P('newspaper'|Spam) = 1.1803309648025306e-05
P('article'|Spam) = 1.1803309648025306e-05
P('our'|Spam) = 0.003483136521960751
P('stuff'|Spam) = 4.247727465805794e-05
P('appear'|Spam) = 8.495454931611588e-05
P('tomorrow'|Spam) = 1.1803309648025306e-05
P('morn'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('''|Spam) = 0.0018265228102964913
P('ll'|Spam) = 0.00033981819726446353
P('let'|Spam) = 0.00038229547192252146
P('.'|Spam) = 0.08032452637838756
P('happen'|Spam) = 4.247727465805794e-05
P('quicker'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('emphatically'|Spam) = 1.1803309648025306e-05
P('right'|Spam) = 0.0005522045705547532
P('side'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('expect'|Spam) = 0.0002123863732902897
P('.'|Spam) = 0.08032452637838756
P('"'|Spam) = 0.008835273128876052
P('article'|Spam) = 1.1803309648025306e-05
P('appear'|Spam) = 8.495454931611588e-05
P('friday'|Spam) = 4.247727465805794e-05
P(','|Spam) = 0.033004842409311015
P('july'|Spam) = 1.1803309648025306e-05
P('10th'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('barbara'|Spam) = 1.1803309648025306e-05
P('likely'|Spam) = 1.1803309648025306e-05
P('post'|Spam) = 0.0002548636479483476
P('here'|Spam) = 0.0006796363945289271
P('monday'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P(','|Spam) = 0.033004842409311015
P('reporter'|Spam) = 1.1803309648025306e-05
P('absolutely'|Spam) = 4.247727465805794e-05
P('fascinate'|Spam) = 1.1803309648025306e-05
P('fact'|Spam) = 0.0002123863732902897
P('ongo'|Spam) = 1.1803309648025306e-05
P('worldwide'|Spam) = 0.0001274318239741738
P('discussion'|Spam) = 1.1803309648025306e-05
P('issue'|Spam) = 1.1803309648025306e-05
P('computer'|Spam) = 0.0007221136691869849
P('net'|Spam) = 0.0005946818452128111
P('.'|Spam) = 0.08032452637838756
P('same'|Spam) = 0.00029734092260640555
P('issue'|Spam) = 1.1803309648025306e-05
P('same'|Spam) = 0.00029734092260640555
P('paper'|Spam) = 0.00038229547192252146
P('run'|Spam) = 0.0004247727465805794
P('syndicate'|Spam) = 1.1803309648025306e-05
P('column'|Spam) = 1.1803309648025306e-05
P('william'|Spam) = 1.1803309648025306e-05
P('raspberry'|Spam) = 1.1803309648025306e-05
P('subject'|Spam) = 0.0006371591198708691
P('.'|Spam) = 0.08032452637838756
P('yet'|Spam) = 0.00016990909863223177
P('paper'|Spam) = 0.00038229547192252146
P('available'|Spam) = 0.0006796363945289271
P('here'|Spam) = 0.0006796363945289271
P('run'|Spam) = 0.0004247727465805794
P('bill'|Spam) = 0.00038229547192252146
P('raspberry'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('chronicle'|Spam) = 0.0001274318239741738
P(','|Spam) = 0.033004842409311015
P('substance'|Spam) = 1.1803309648025306e-05
P('response'|Spam) = 0.0005946818452128111
P('.'|Spam) = 0.08032452637838756
P('couple'|Spam) = 0.0001274318239741738
P('suggest'|Spam) = 1.1803309648025306e-05
P('petitioner'|Spam) = 1.1803309648025306e-05
P('''|Spam) = 0.0018265228102964913
P('concern'|Spam) = 8.495454931611588e-05
P('teacher'|Spam) = 1.1803309648025306e-05
P('comprehensible'|Spam) = 1.1803309648025306e-05
P('grade'|Spam) = 4.247727465805794e-05
P('school'|Spam) = 0.0002548636479483476
P('student'|Spam) = 0.0002123863732902897
P('.'|Spam) = 0.08032452637838756
P(','|Spam) = 0.033004842409311015
P('course'|Spam) = 0.0002123863732902897
P(','|Spam) = 0.033004842409311015
P('most'|Spam) = 0.0014867046130320279
P('legitimate'|Spam) = 0.0001274318239741738
P('concern'|Spam) = 8.495454931611588e-05
P(','|Spam) = 0.033004842409311015
P('many'|Spam) = 0.0016141364370062016
P('state'|Spam) = 0.0009345000424772746
P(','|Spam) = 0.033004842409311015
P('school'|Spam) = 0.0002548636479483476
P('corporation'|Spam) = 4.247727465805794e-05
P(','|Spam) = 0.033004842409311015
P('university'|Spam) = 4.247727465805794e-05
P('measure'|Spam) = 1.1803309648025306e-05
P('protect'|Spam) = 0.0001274318239741738
P('student'|Spam) = 0.0002123863732902897
P('incompetent'|Spam) = 1.1803309648025306e-05
P('english'|Spam) = 1.1803309648025306e-05
P('speaker'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('apparently'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('however'|Spam) = 0.0002123863732902897
P(','|Spam) = 0.033004842409311015
P('petitioner'|Spam) = 1.1803309648025306e-05
P('''|Spam) = 0.0018265228102964913
P('concern'|Spam) = 8.495454931611588e-05
P(','|Spam) = 0.033004842409311015
P('core'|Spam) = 1.1803309648025306e-05
P('issue'|Spam) = 1.1803309648025306e-05
P('belief'|Spam) = 1.1803309648025306e-05
P('student'|Spam) = 0.0002123863732902897
P('acquire'|Spam) = 8.495454931611588e-05
P('foreign'|Spam) = 0.00016990909863223177
P('accent'|Spam) = 1.1803309648025306e-05
P('teacher'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('response'|Spam) = 0.0005946818452128111
P('subject'|Spam) = 0.0006371591198708691
P('share'|Spam) = 0.0001274318239741738
P('conviction'|Spam) = 1.1803309648025306e-05
P('happen'|Spam) = 4.247727465805794e-05
P('.'|Spam) = 0.08032452637838756
P('michael'|Spam) = 1.1803309648025306e-05
P('covington'|Spam) = 1.1803309648025306e-05
P('('|Spam) = 0.004162772916489678
P('mcovingt'|Spam) = 1.1803309648025306e-05
P('@'|Spam) = 0.0010194545917933905
P('uga'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('cc'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('uga'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('edu'|Spam) = 4.247727465805794e-05
P(')'|Spam) = 0.004714977487044431
P(':'|Spam) = 0.008410500382295473
P('"'|Spam) = 0.008835273128876052
P('own'|Spam) = 0.0008920227678192168
P('rather'|Spam) = 4.247727465805794e-05
P('limit'|Spam) = 0.0002123863732902897
P('experience'|Spam) = 0.00029734092260640555
P('child'|Spam) = 0.0005097272958966952
P('n't'|Spam) = 0.0016141364370062016
P('even'|Spam) = 0.0010619318664514485
P('influence'|Spam) = 1.1803309648025306e-05
P('foreign'|Spam) = 0.00016990909863223177
P('accent'|Spam) = 1.1803309648025306e-05
P('_'|Spam) = 0.1741993033726956
P('parent'|Spam) = 0.00016990909863223177
P('_'|Spam) = 0.1741993033726956
P(','|Spam) = 0.033004842409311015
P('much'|Spam) = 0.0013167955143997961
P('less'|Spam) = 0.00033981819726446353
P('teacher'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('"'|Spam) = 0.008835273128876052
P('cliff'|Spam) = 1.1803309648025306e-05
P('miller'|Spam) = 1.1803309648025306e-05
P('('|Spam) = 0.004162772916489678
P('miller'|Spam) = 1.1803309648025306e-05
P('@'|Spam) = 0.0010194545917933905
P('defun'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('c'|Spam) = 0.00029734092260640555
P('.'|Spam) = 0.08032452637838756
P('utah'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('edu'|Spam) = 4.247727465805794e-05
P(')'|Spam) = 0.004714977487044431
P(':'|Spam) = 0.008410500382295473
P('"'|Spam) = 0.008835273128876052
P('course'|Spam) = 0.0002123863732902897
P('possible'|Spam) = 0.0002123863732902897
P('['|Spam) = 0.0028884546767479397
P('grade'|Spam) = 4.247727465805794e-05
P('school'|Spam) = 0.0002548636479483476
P('student'|Spam) = 0.0002123863732902897
P('influence'|Spam) = 1.1803309648025306e-05
P('teacher'|Spam) = 1.1803309648025306e-05
P(''s'|Spam) = 0.0026760683034576503
P('foreign'|Spam) = 0.00016990909863223177
P('accent'|Spam) = 1.1803309648025306e-05
P(']'|Spam) = 0.0027610228527737662
P(','|Spam) = 0.033004842409311015
P('highly'|Spam) = 0.00016990909863223177
P('unlikely'|Spam) = 1.1803309648025306e-05
P('complete'|Spam) = 0.0008070682185031008
P('long-last'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('perhap'|Spam) = 4.247727465805794e-05
P('important'|Spam) = 0.00029734092260640555
P('question'|Spam) = 0.00029734092260640555
