(1) P(Spam, all words)
P('Subject:'|Spam) = 0.0016566137116642596
P('identity'|Spam) = 1.1803309648025306e-05
P('even'|Spam) = 0.0010619318664514485
P('disappear'|Spam) = 1.1803309648025306e-05
P('?'|Spam) = 0.0028459774020898818
P('are'|Spam) = 0.0002548636479483476
P('surgery'|Spam) = 1.1803309648025306e-05
P('?'|Spam) = 0.0028459774020898818
P('many'|Spam) = 0.0016141364370062016
P('malpractice'|Spam) = 1.1803309648025306e-05
P('suit'|Spam) = 0.0001274318239741738
P('file'|Spam) = 0.0015716591623481438
P('against'|Spam) = 0.0002123863732902897
P('doctor'|Spam) = 0.00016990909863223177
P('?'|Spam) = 0.0028459774020898818
P('learn'|Spam) = 0.0004247727465805794
P('plus'|Spam) = 0.0013167955143997961
P('much'|Spam) = 0.0013167955143997961
P(','|Spam) = 0.033004842409311015
P('much'|Spam) = 0.0013167955143997961
P('our'|Spam) = 0.003483136521960751
P('brand'|Spam) = 8.495454931611588e-05
P('45'|Spam) = 1.1803309648025306e-05
P('page'|Spam) = 0.00038229547192252146
P('report'|Spam) = 0.0017415682609803755
P('"'|Spam) = 0.008835273128876052
P('internet'|Spam) = 0.0012318409650836802
P('sleuth'|Spam) = 1.1803309648025306e-05
P('"'|Spam) = 0.008835273128876052
P('!'|Spam) = 0.024594342027015548
P('learn'|Spam) = 0.0004247727465805794
P('internet'|Spam) = 0.0012318409650836802
P('tool'|Spam) = 0.0005522045705547532
P('resource'|Spam) = 0.00029734092260640555
P('investigate'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('relative'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('friend'|Spam) = 0.00016990909863223177
P(','|Spam) = 0.033004842409311015
P('neighbor'|Spam) = 4.247727465805794e-05
P(','|Spam) = 0.033004842409311015
P('enemy'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('employee'|Spam) = 4.247727465805794e-05
P('anyone'|Spam) = 0.00016990909863223177
P('else'|Spam) = 0.0002123863732902897
P('!'|Spam) = 0.024594342027015548
P('thousand'|Spam) = 0.0005522045705547532
P('internet'|Spam) = 0.0012318409650836802
P('location'|Spam) = 8.495454931611588e-05
P(','|Spam) = 0.033004842409311015
P('credit'|Spam) = 0.0028035001274318238
P(','|Spam) = 0.033004842409311015
P('social'|Spam) = 1.1803309648025306e-05
P('security'|Spam) = 4.247727465805794e-05
P(','|Spam) = 0.033004842409311015
P('current'|Spam) = 4.247727465805794e-05
P('past'|Spam) = 8.495454931611588e-05
P('employment'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('drive'|Spam) = 8.495454931611588e-05
P('record'|Spam) = 0.0010194545917933905
P(','|Spam) = 0.033004842409311015
P('criminal'|Spam) = 1.1803309648025306e-05
P('record'|Spam) = 0.0010194545917933905
P(','|Spam) = 0.033004842409311015
P('medical'|Spam) = 1.1803309648025306e-05
P('information'|Spam) = 0.0024212046555093024
P(','|Spam) = 0.033004842409311015
P('military'|Spam) = 1.1803309648025306e-05
P('record'|Spam) = 0.0010194545917933905
P(','|Spam) = 0.033004842409311015
P('address'|Spam) = 0.005309659332257242
P(','|Spam) = 0.033004842409311015
P('phone'|Spam) = 0.0019114773596126072
P('number'|Spam) = 0.0010194545917933905
P(','|Spam) = 0.033004842409311015
P('immigration'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('divorce'|Spam) = 4.247727465805794e-05
P(','|Spam) = 0.033004842409311015
P('labor'|Spam) = 1.1803309648025306e-05
P('criminal'|Spam) = 1.1803309648025306e-05
P('law'|Spam) = 0.00016990909863223177
P('!'|Spam) = 0.024594342027015548
P('source'|Spam) = 1.1803309648025306e-05
P('miss'|Spam) = 0.00038229547192252146
P('child'|Spam) = 0.0005097272958966952
P('parent'|Spam) = 0.00016990909863223177
P(','|Spam) = 0.033004842409311015
P('hazardous'|Spam) = 1.1803309648025306e-05
P('waste'|Spam) = 0.00029734092260640555
P('site'|Spam) = 0.0012318409650836802
P(','|Spam) = 0.033004842409311015
P('freedom'|Spam) = 8.495454931611588e-05
P('information'|Spam) = 0.0024212046555093024
P('act'|Spam) = 4.247727465805794e-05
P('information'|Spam) = 0.0024212046555093024
P('search'|Spam) = 0.0005522045705547532
P(','|Spam) = 0.033004842409311015
P('skip'|Spam) = 1.1803309648025306e-05
P('trace'|Spam) = 1.1803309648025306e-05
P('backround'|Spam) = 1.1803309648025306e-05
P('check'|Spam) = 0.0024212046555093024
P('prospective'|Spam) = 4.247727465805794e-05
P('date'|Spam) = 0.0007221136691869849
P(','|Spam) = 0.033004842409311015
P('bride'|Spam) = 1.1803309648025306e-05
P('groom'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('employee'|Spam) = 4.247727465805794e-05
P(','|Spam) = 0.033004842409311015
P('renter'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('vendor'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('client'|Spam) = 1.1803309648025306e-05
P('competitor'|Spam) = 1.1803309648025306e-05
P('!'|Spam) = 0.024594342027015548
P('learn'|Spam) = 0.0004247727465805794
P('where'|Spam) = 0.0002123863732902897
P('surveillance'|Spam) = 1.1803309648025306e-05
P('spy'|Spam) = 1.1803309648025306e-05
P('device'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('private'|Spam) = 0.00016990909863223177
P('mail'|Spam) = 0.0037804774445671565
P('forward'|Spam) = 1.1803309648025306e-05
P('annonymous'|Spam) = 1.1803309648025306e-05
P('email'|Spam) = 0.006414068473366749
P('forward'|Spam) = 1.1803309648025306e-05
P('site'|Spam) = 0.0012318409650836802
P(','|Spam) = 0.033004842409311015
P('search'|Spam) = 0.0005522045705547532
P('copyright'|Spam) = 0.00038229547192252146
P(','|Spam) = 0.033004842409311015
P('patent'|Spam) = 0.0002548636479483476
P('court'|Spam) = 0.0001274318239741738
P('case'|Spam) = 0.0001274318239741738
P('asset'|Spam) = 1.1803309648025306e-05
P('untraceable'|Spam) = 1.1803309648025306e-05
P('!'|Spam) = 0.024594342027015548
P('show'|Spam) = 0.0008495454931611588
P('copy'|Spam) = 0.00033981819726446353
P('credit'|Spam) = 0.0028035001274318238
P('report'|Spam) = 0.0017415682609803755
P(','|Spam) = 0.033004842409311015
P('adoption'|Spam) = 1.1803309648025306e-05
P('database'|Spam) = 8.495454931611588e-05
P(','|Spam) = 0.033004842409311015
P('information'|Spam) = 0.0024212046555093024
P('drug'|Spam) = 0.0001274318239741738
P(','|Spam) = 0.033004842409311015
P('poison'|Spam) = 1.1803309648025306e-05
P('share'|Spam) = 0.0001274318239741738
P('government'|Spam) = 0.00029734092260640555
P('program'|Spam) = 0.0025061592048254183
P('benefit'|Spam) = 0.00016990909863223177
P('!'|Spam) = 0.024594342027015548
P('information'|Spam) = 0.0024212046555093024
P('internet'|Spam) = 0.0012318409650836802
P('search'|Spam) = 0.0005522045705547532
P('engine'|Spam) = 0.0002548636479483476
P('?'|Spam) = 0.0028459774020898818
P('answer'|Spam) = 0.0001274318239741738
P('maybe'|Spam) = 4.247727465805794e-05
P('lucky'|Spam) = 1.1803309648025306e-05
P('want'|Spam) = 0.0016990909863223175
P('spend'|Spam) = 0.00016990909863223177
P('many'|Spam) = 0.0016141364370062016
P('hour'|Spam) = 0.0015716591623481438
P('through'|Spam) = 0.00033981819726446353
P('25'|Spam) = 0.0004247727465805794
P(','|Spam) = 0.033004842409311015
P('0'|Spam) = 0.00785829581174072
P('plus'|Spam) = 0.0013167955143997961
P('hit'|Spam) = 0.0004247727465805794
P('per'|Spam) = 0.0013592727890578541
P('subject'|Spam) = 0.0006371591198708691
P('!'|Spam) = 0.024594342027015548
P('our'|Spam) = 0.003483136521960751
P('staff'|Spam) = 8.495454931611588e-05
P('spend'|Spam) = 0.00016990909863223177
P('hundred'|Spam) = 0.0002123863732902897
P('hour'|Spam) = 0.0015716591623481438
P('many'|Spam) = 0.0016141364370062016
P('thousand'|Spam) = 0.0005522045705547532
P('dollar'|Spam) = 0.0004247727465805794
P('compile'|Spam) = 1.1803309648025306e-05
P('information'|Spam) = 0.0024212046555093024
P('!'|Spam) = 0.024594342027015548
P('silver'|Spam) = 8.495454931611588e-05
P('platter'|Spam) = 1.1803309648025306e-05
P('less'|Spam) = 0.00033981819726446353
P('twenty'|Spam) = 4.247727465805794e-05
P('bucks'|Spam) = 1.1803309648025306e-05
P('during'|Spam) = 1.1803309648025306e-05
P('special'|Spam) = 0.0007645909438450429
P('email'|Spam) = 0.006414068473366749
P('promotion'|Spam) = 1.1803309648025306e-05
P('!'|Spam) = 0.024594342027015548
P('frequently'|Spam) = 1.1803309648025306e-05
P('hear'|Spam) = 0.00033981819726446353
P('over'|Spam) = 0.001953954634270665
P('media'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('television'|Spam) = 4.247727465805794e-05
P(','|Spam) = 0.033004842409311015
P('radio'|Spam) = 4.247727465805794e-05
P(','|Spam) = 0.033004842409311015
P('newspaper'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('personal'|Spam) = 0.00029734092260640555
P('information'|Spam) = 0.0024212046555093024
P(','|Spam) = 0.033004842409311015
P('trade'|Spam) = 4.247727465805794e-05
P('sell'|Spam) = 0.0013592727890578541
P('over'|Spam) = 0.001953954634270665
P('internet'|Spam) = 0.0012318409650836802
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('usually'|Spam) = 4.247727465805794e-05
P('without'|Spam) = 0.00033981819726446353
P('permission'|Spam) = 1.1803309648025306e-05
P('knowledge'|Spam) = 8.495454931611588e-05
P('.'|Spam) = 0.08032452637838756
P('our'|Spam) = 0.003483136521960751
P('report'|Spam) = 0.0017415682609803755
P('show'|Spam) = 0.0008495454931611588
P('is'|Spam) = 0.00016990909863223177
P('done'|Spam) = 4.247727465805794e-05
P('!'|Spam) = 0.024594342027015548
P('!'|Spam) = 0.024594342027015548
P('!'|Spam) = 0.024594342027015548
P('old'|Spam) = 0.0002548636479483476
P('romantic'|Spam) = 1.1803309648025306e-05
P('flame'|Spam) = 4.247727465805794e-05
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('telephone'|Spam) = 0.0001274318239741738
P(','|Spam) = 0.033004842409311015
P('address'|Spam) = 0.005309659332257242
P('email'|Spam) = 0.006414068473366749
P('information'|Spam) = 0.0024212046555093024
P('almost'|Spam) = 0.0002548636479483476
P('anyone'|Spam) = 0.00016990909863223177
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('even'|Spam) = 0.0010619318664514485
P('unlist'|Spam) = 1.1803309648025306e-05
P('phone'|Spam) = 0.0019114773596126072
P('number'|Spam) = 0.0010194545917933905
P('?'|Spam) = 0.0028459774020898818
P('family'|Spam) = 0.00016990909863223177
P('"'|Spam) = 0.008835273128876052
P('tree'|Spam) = 8.495454931611588e-05
P('"'|Spam) = 0.008835273128876052
P('?'|Spam) = 0.0028459774020898818
P('teach'|Spam) = 0.00038229547192252146
P('turn'|Spam) = 0.0002123863732902897
P('work'|Spam) = 0.0015291818876900858
P('hour'|Spam) = 0.0015716591623481438
P('fun'|Spam) = 0.00033981819726446353
P('!'|Spam) = 0.024594342027015548
P('military'|Spam) = 1.1803309648025306e-05
P('?'|Spam) = 0.0028459774020898818
P('check'|Spam) = 0.0024212046555093024
P('army'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('navy'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('air'|Spam) = 0.00016990909863223177
P('force'|Spam) = 1.1803309648025306e-05
P('marine'|Spam) = 1.1803309648025306e-05
P('record'|Spam) = 0.0010194545917933905
P('.'|Spam) = 0.08032452637838756
P('extensive'|Spam) = 4.247727465805794e-05
P('vietnamese'|Spam) = 1.1803309648025306e-05
P('war'|Spam) = 1.1803309648025306e-05
P('record'|Spam) = 0.0010194545917933905
P(','|Spam) = 0.033004842409311015
P('mia'|Spam) = 1.1803309648025306e-05
P('info'|Spam) = 8.495454931611588e-05
P(','|Spam) = 0.033004842409311015
P('much'|Spam) = 0.0013167955143997961
P('!'|Spam) = 0.024594342027015548
P('job'|Spam) = 0.0007221136691869849
P('?'|Spam) = 0.0028459774020898818
P('job'|Spam) = 0.0007221136691869849
P('seek'|Spam) = 8.495454931611588e-05
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('even'|Spam) = 0.0010619318664514485
P('another'|Spam) = 8.495454931611588e-05
P('state'|Spam) = 0.0009345000424772746
P('another'|Spam) = 8.495454931611588e-05
P('country'|Spam) = 0.00016990909863223177
P('!'|Spam) = 0.024594342027015548
P('teach'|Spam) = 0.00038229547192252146
P('!'|Spam) = 0.024594342027015548
P('love'|Spam) = 0.00033981819726446353
P('interest'|Spam) = 0.0006371591198708691
P('spouse'|Spam) = 1.1803309648025306e-05
P('even'|Spam) = 0.0010619318664514485
P('sex'|Spam) = 0.0013592727890578541
P('partner'|Spam) = 4.247727465805794e-05
P('?'|Spam) = 0.0028459774020898818
P('show'|Spam) = 0.0008495454931611588
P('where'|Spam) = 0.0002123863732902897
P('fast'|Spam) = 4.247727465805794e-05
P('result'|Spam) = 0.00038229547192252146
P('!'|Spam) = 0.024594342027015548
P('want'|Spam) = 0.0016990909863223175
P('up-to'|Spam) = 1.1803309648025306e-05
P('-'|Spam) = 0.04727720669441848
P('the-minute'|Spam) = 1.1803309648025306e-05
P('health'|Spam) = 4.247727465805794e-05
P('medical'|Spam) = 1.1803309648025306e-05
P('information'|Spam) = 0.0024212046555093024
P('?'|Spam) = 0.0028459774020898818
P('learn'|Spam) = 0.0004247727465805794
P('cure'|Spam) = 1.1803309648025306e-05
P('fear'|Spam) = 1.1803309648025306e-05
P('phoebia'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('latest'|Spam) = 0.0001274318239741738
P('drug'|Spam) = 0.0001274318239741738
P('treatment'|Spam) = 1.1803309648025306e-05
P('almost'|Spam) = 0.0002548636479483476
P('ailment'|Spam) = 1.1803309648025306e-05
P('desease'|Spam) = 1.1803309648025306e-05
P('drug'|Spam) = 0.0001274318239741738
P('company'|Spam) = 0.0008920227678192168
P('themselve'|Spam) = 8.495454931611588e-05
P('university'|Spam) = 4.247727465805794e-05
P('center'|Spam) = 0.0002548636479483476
P('desease'|Spam) = 1.1803309648025306e-05
P('control'|Spam) = 0.00029734092260640555
P('.'|Spam) = 0.08032452637838756
P('want'|Spam) = 0.0016990909863223175
P('learn'|Spam) = 0.0004247727465805794
P('most'|Spam) = 0.0014867046130320279
P('effective'|Spam) = 0.0002548636479483476
P('loose'|Spam) = 4.247727465805794e-05
P('weight'|Spam) = 0.0001274318239741738
P('?'|Spam) = 0.0028459774020898818
P(''s'|Spam) = 0.0026760683034576503
P('here'|Spam) = 0.0006796363945289271
P('our'|Spam) = 0.003483136521960751
P('report'|Spam) = 0.0017415682609803755
P('!'|Spam) = 0.024594342027015548
P('believe'|Spam) = 0.0006371591198708691
P('information'|Spam) = 0.0024212046555093024
P('compile'|Spam) = 1.1803309648025306e-05
P('available'|Spam) = 0.0006796363945289271
P('compile'|Spam) = 1.1803309648025306e-05
P('without'|Spam) = 0.00033981819726446353
P('knowledge'|Spam) = 8.495454931611588e-05
P('permission'|Spam) = 1.1803309648025306e-05
P('must'|Spam) = 0.0005946818452128111
P('order'|Spam) = 0.005182227508283069
P('"'|Spam) = 0.008835273128876052
P('internet'|Spam) = 0.0012318409650836802
P('sleuth'|Spam) = 1.1803309648025306e-05
P('report'|Spam) = 0.0017415682609803755
P('"'|Spam) = 0.008835273128876052
P('immediately'|Spam) = 4.247727465805794e-05
P('!'|Spam) = 0.024594342027015548
P('our'|Spam) = 0.003483136521960751
P('"'|Spam) = 0.008835273128876052
P('internet'|Spam) = 0.0012318409650836802
P('sleuth'|Spam) = 1.1803309648025306e-05
P('report'|Spam) = 0.0017415682609803755
P('"'|Spam) = 0.008835273128876052
P('normally'|Spam) = 4.247727465805794e-05
P('sell'|Spam) = 0.0013592727890578541
P('direct'|Spam) = 0.0001274318239741738
P('mail'|Spam) = 0.0037804774445671565
P('$'|Spam) = 0.015546682524849205
P('39'|Spam) = 4.247727465805794e-05
P('.'|Spam) = 0.08032452637838756
P('95'|Spam) = 0.002081386458244839
P('soon'|Spam) = 0.00016990909863223177
P('book'|Spam) = 0.0015291818876900858
P('store'|Spam) = 0.0002548636479483476
P('$'|Spam) = 0.015546682524849205
P('29'|Spam) = 0.0002548636479483476
P('.'|Spam) = 0.08032452637838756
P('95'|Spam) = 0.002081386458244839
P('.'|Spam) = 0.08032452637838756
P('however'|Spam) = 0.0002123863732902897
P(','|Spam) = 0.033004842409311015
P('generate'|Spam) = 4.247727465805794e-05
P('publicity'|Spam) = 1.1803309648025306e-05
P('"'|Spam) = 0.008835273128876052
P('word'|Spam) = 0.00038229547192252146
P('"'|Spam) = 0.008835273128876052
P('10'|Spam) = 0.001953954634270665
P('day'|Spam) = 0.0013592727890578541
P('email'|Spam) = 0.006414068473366749
P('special'|Spam) = 0.0007645909438450429
P('offer'|Spam) = 0.0010194545917933905
P('our'|Spam) = 0.003483136521960751
P('complete'|Spam) = 0.0008070682185031008
P('45'|Spam) = 1.1803309648025306e-05
P('page'|Spam) = 0.00038229547192252146
P('report'|Spam) = 0.0017415682609803755
P('$'|Spam) = 0.015546682524849205
P('19'|Spam) = 4.247727465805794e-05
P('.'|Spam) = 0.08032452637838756
P('95'|Spam) = 0.002081386458244839
P('plus'|Spam) = 0.0013167955143997961
P('$'|Spam) = 0.015546682524849205
P('3'|Spam) = 0.002336250106193187
P('ship'|Spam) = 0.0019114773596126072
P('handle'|Spam) = 0.0008495454931611588
P('['|Spam) = 0.0028884546767479397
P('total'|Spam) = 0.0010194545917933905
P('$'|Spam) = 0.015546682524849205
P('22'|Spam) = 4.247727465805794e-05
P('.'|Spam) = 0.08032452637838756
P('95'|Spam) = 0.002081386458244839
P(']'|Spam) = 0.0027610228527737662
P('.'|Spam) = 0.08032452637838756
P('sold'|Spam) = 1.1803309648025306e-05
P('our'|Spam) = 0.003483136521960751
P('10'|Spam) = 0.001953954634270665
P('day'|Spam) = 0.0013592727890578541
P('money'|Spam) = 0.003483136521960751
P('back'|Spam) = 0.0004247727465805794
P('guarantee'|Spam) = 0.0005097272958966952
P('!'|Spam) = 0.024594342027015548
P('biggest'|Spam) = 0.0002548636479483476
P('bargain'|Spam) = 1.1803309648025306e-05
P('internet'|Spam) = 0.0012318409650836802
P('information'|Spam) = 0.0024212046555093024
P('great'|Spam) = 0.0002123863732902897
P('power'|Spam) = 0.00029734092260640555
P('!'|Spam) = 0.024594342027015548
P('really'|Spam) = 0.00029734092260640555
P('change'|Spam) = 8.495454931611588e-05
P('life'|Spam) = 0.0005097272958966952
P('positive'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('order'|Spam) = 0.005182227508283069
P('!'|Spam) = 0.024594342027015548
P('complete'|Spam) = 0.0008070682185031008
P('45'|Spam) = 1.1803309648025306e-05
P('page'|Spam) = 0.00038229547192252146
P('"'|Spam) = 0.008835273128876052
P('internet'|Spam) = 0.0012318409650836802
P('sleuth'|Spam) = 1.1803309648025306e-05
P('report'|Spam) = 0.0017415682609803755
P('"'|Spam) = 0.008835273128876052
P('$'|Spam) = 0.015546682524849205
P('19'|Spam) = 4.247727465805794e-05
P('.'|Spam) = 0.08032452637838756
P('95'|Spam) = 0.002081386458244839
P('plus'|Spam) = 0.0013167955143997961
P('$'|Spam) = 0.015546682524849205
P('3'|Spam) = 0.002336250106193187
P('ship'|Spam) = 0.0019114773596126072
P('handle'|Spam) = 0.0008495454931611588
P('-'|Spam) = 0.04727720669441848
P('total'|Spam) = 0.0010194545917933905
P('$'|Spam) = 0.015546682524849205
P('22'|Spam) = 4.247727465805794e-05
P('.'|Spam) = 0.08032452637838756
P('95'|Spam) = 0.002081386458244839
P('.'|Spam) = 0.08032452637838756
P('ship'|Spam) = 0.0019114773596126072
P('plain'|Spam) = 0.0002548636479483476
P('wrapper'|Spam) = 0.0001274318239741738
P('first'|Spam) = 0.0006371591198708691
P('class'|Spam) = 0.0002548636479483476
P('mail'|Spam) = 0.0037804774445671565
P('.'|Spam) = 0.08032452637838756
P('add'|Spam) = 0.0014017500637159119
P('$'|Spam) = 0.015546682524849205
P('5'|Spam) = 0.0016141364370062016
P('priority'|Spam) = 0.0001274318239741738
P('mail'|Spam) = 0.0037804774445671565
P('delivery'|Spam) = 0.00016990909863223177
P('.'|Spam) = 0.08032452637838756
P('add'|Spam) = 0.0014017500637159119
P('$'|Spam) = 0.015546682524849205
P('20'|Spam) = 0.0004672500212386373
P('overnight'|Spam) = 0.0002123863732902897
P('express'|Spam) = 0.0008495454931611588
P('!'|Spam) = 0.024594342027015548
P('accept'|Spam) = 0.0004672500212386373
P('visa'|Spam) = 0.0006371591198708691
P(','|Spam) = 0.033004842409311015
P('mastercard'|Spam) = 0.0005522045705547532
P(','|Spam) = 0.033004842409311015
P('american'|Spam) = 0.0005097272958966952
P('express'|Spam) = 0.0008495454931611588
P('discover'|Spam) = 0.00033981819726446353
P('.'|Spam) = 0.08032452637838756
P('accept'|Spam) = 0.0004672500212386373
P('check'|Spam) = 0.0024212046555093024
P('phone'|Spam) = 0.0019114773596126072
P('fax'|Spam) = 0.0015716591623481438
P('.'|Spam) = 0.08032452637838756
P('order'|Spam) = 0.005182227508283069
P('phone'|Spam) = 0.0019114773596126072
P('9'|Spam) = 0.0012743182397417382
P('10'|Spam) = 0.001953954634270665
P('pm'|Spam) = 0.00016990909863223177
P('['|Spam) = 0.0028884546767479397
P('ny'|Spam) = 0.0001274318239741738
P(']'|Spam) = 0.0027610228527737662
P('phon'|Spam) = 1.1803309648025306e-05
P('['|Spam) = 0.0028884546767479397
P('718'|Spam) = 0.0002548636479483476
P(']'|Spam) = 0.0027610228527737662
P('287-3800'|Spam) = 0.0001274318239741738
P('order'|Spam) = 0.005182227508283069
P('fax'|Spam) = 0.0015716591623481438
P('24'|Spam) = 0.0013167955143997961
P('hour'|Spam) = 0.0015716591623481438
P('per'|Spam) = 0.0013592727890578541
P('day'|Spam) = 0.0013592727890578541
P('phon'|Spam) = 1.1803309648025306e-05
P('our'|Spam) = 0.003483136521960751
P('fax'|Spam) = 0.0015716591623481438
P('line'|Spam) = 0.0006796363945289271
P('['|Spam) = 0.0028884546767479397
P('718'|Spam) = 0.0002548636479483476
P(']'|Spam) = 0.0027610228527737662
P('462-5920'|Spam) = 0.0001274318239741738
P('.'|Spam) = 0.08032452637838756
P('fax'|Spam) = 0.0015716591623481438
P('credit'|Spam) = 0.0028035001274318238
P('card'|Spam) = 0.0017415682609803755
P('information'|Spam) = 0.0024212046555093024
P('check'|Spam) = 0.0024212046555093024
P('email'|Spam) = 0.006414068473366749
P('order'|Spam) = 0.005182227508283069
P('-'|Spam) = 0.04727720669441848
P('hit'|Spam) = 0.0004247727465805794
P('reply'|Spam) = 0.0006796363945289271
P('keyboard'|Spam) = 0.0002548636479483476
P('send'|Spam) = 0.0029734092260640557
P('email'|Spam) = 0.006414068473366749
P('our'|Spam) = 0.003483136521960751
P('special'|Spam) = 0.0007645909438450429
P('email'|Spam) = 0.006414068473366749
P('address'|Spam) = 0.005309659332257242
P('below'|Spam) = 0.0004672500212386373
P(':'|Spam) = 0.008410500382295473
P('bernadette38'|Spam) = 1.1803309648025306e-05
P('@'|Spam) = 0.0010194545917933905
P('juno'|Spam) = 0.0002123863732902897
P('.'|Spam) = 0.08032452637838756
P('com'|Spam) = 0.0012743182397417382
P('['|Spam) = 0.0028884546767479397
P('note'|Spam) = 0.0004247727465805794
P(':'|Spam) = 0.008410500382295473
P('order'|Spam) = 0.005182227508283069
P('email'|Spam) = 0.006414068473366749
P('receive'|Spam) = 0.002038909183586781
P('email'|Spam) = 0.006414068473366749
P('confirmation'|Spam) = 1.1803309648025306e-05
P('within'|Spam) = 0.0008070682185031008
P('24'|Spam) = 0.0013167955143997961
P('hour'|Spam) = 0.0015716591623481438
P(','|Spam) = 0.033004842409311015
P('please'|Spam) = 0.0025911137541415343
P('phone'|Spam) = 0.0019114773596126072
P('our'|Spam) = 0.003483136521960751
P('office'|Spam) = 0.00038229547192252146
P('718-287'|Spam) = 0.0001274318239741738
P('-'|Spam) = 0.04727720669441848
P('3800'|Spam) = 0.0001274318239741738
P(']'|Spam) = 0.0027610228527737662
P('order'|Spam) = 0.005182227508283069
P('mail'|Spam) = 0.0037804774445671565
P('send'|Spam) = 0.0029734092260640557
P('$'|Spam) = 0.015546682524849205
P('22'|Spam) = 4.247727465805794e-05
P('.'|Spam) = 0.08032452637838756
P('95'|Spam) = 0.002081386458244839
P('cash'|Spam) = 0.0006796363945289271
P(','|Spam) = 0.033004842409311015
P('check'|Spam) = 0.0024212046555093024
P(','|Spam) = 0.033004842409311015
P('money'|Spam) = 0.003483136521960751
P('order'|Spam) = 0.005182227508283069
