(1) P(Spam, all words)
P('Subject:'|Spam) = 0.0016566137116642596
P('nsw'|Spam) = 1.1803309648025306e-05
P('2351'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('australium'|Spam) = 4.247727465805794e-05
P('email'|Spam) = 0.006414068473366749
P(':'|Spam) = 0.008410500382295473
P('deade'|Spam) = 1.1803309648025306e-05
P('@'|Spam) = 0.0010194545917933905
P('metz'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('une'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('edu'|Spam) = 4.247727465805794e-05
P('.'|Spam) = 0.08032452637838756
P('au'|Spam) = 1.1803309648025306e-05
P('registration'|Spam) = 4.247727465805794e-05
P('information'|Spam) = 0.0024212046555093024
P('registration'|Spam) = 4.247727465805794e-05
P('fee'|Spam) = 0.0001274318239741738
P(':'|Spam) = 0.008410500382295473
P('member'|Spam) = 0.0005946818452128111
P('$'|Spam) = 0.015546682524849205
P('a125'|Spam) = 1.1803309648025306e-05
P('non'|Spam) = 1.1803309648025306e-05
P('-'|Spam) = 0.04727720669441848
P('member'|Spam) = 0.0005946818452128111
P('$'|Spam) = 0.015546682524849205
P('a150'|Spam) = 1.1803309648025306e-05
P('student'|Spam) = 0.0002123863732902897
P('$'|Spam) = 0.015546682524849205
P('a100'|Spam) = 1.1803309648025306e-05
P('early'|Spam) = 1.1803309648025306e-05
P('bird'|Spam) = 1.1803309648025306e-05
P('discount'|Spam) = 8.495454931611588e-05
P('$'|Spam) = 0.015546682524849205
P('a20'|Spam) = 1.1803309648025306e-05
P('off'|Spam) = 0.0005946818452128111
P('register'|Spam) = 1.1803309648025306e-05
P('before'|Spam) = 0.0007221136691869849
P('april'|Spam) = 4.247727465805794e-05
P('12th'|Spam) = 1.1803309648025306e-05
P('1995'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('registration'|Spam) = 4.247727465805794e-05
P('include'|Spam) = 0.0013592727890578541
P(':'|Spam) = 0.008410500382295473
P('*'|Spam) = 0.07276357148925325
P('attendance'|Spam) = 1.1803309648025306e-05
P('session'|Spam) = 0.0001274318239741738
P('*'|Spam) = 0.07276357148925325
P('abstract'|Spam) = 1.1803309648025306e-05
P('booklet'|Spam) = 4.247727465805794e-05
P('*'|Spam) = 0.07276357148925325
P('morn'|Spam) = 1.1803309648025306e-05
P('afternoon'|Spam) = 1.1803309648025306e-05
P('tea'|Spam) = 1.1803309648025306e-05
P('lunch'|Spam) = 4.247727465805794e-05
P('monday'|Spam) = 1.1803309648025306e-05
P('tuesday'|Spam) = 4.247727465805794e-05
P('wednesday'|Spam) = 1.1803309648025306e-05
P('*'|Spam) = 0.07276357148925325
P('reception'|Spam) = 1.1803309648025306e-05
P('sunday'|Spam) = 1.1803309648025306e-05
P('even'|Spam) = 0.0010619318664514485
P('*'|Spam) = 0.07276357148925325
P('conference'|Spam) = 8.495454931611588e-05
P('satchel'|Spam) = 1.1803309648025306e-05
P('*'|Spam) = 0.07276357148925325
P('excursion'|Spam) = 1.1803309648025306e-05
P('dangar'|Spam) = 1.1803309648025306e-05
P('fall'|Spam) = 1.1803309648025306e-05
P('registration'|Spam) = 4.247727465805794e-05
P('below'|Spam) = 0.0004672500212386373
P('registration'|Spam) = 4.247727465805794e-05
P('form'|Spam) = 0.0012318409650836802
P('.'|Spam) = 0.08032452637838756
P('please'|Spam) = 0.0025911137541415343
P('email'|Spam) = 0.006414068473366749
P('form'|Spam) = 0.0012318409650836802
P('.'|Spam) = 0.08032452637838756
P('print'|Spam) = 0.0004247727465805794
P('send'|Spam) = 0.0029734092260640557
P('airmail'|Spam) = 1.1803309648025306e-05
P('address'|Spam) = 0.005309659332257242
P('below'|Spam) = 0.0004672500212386373
P('('|Spam) = 0.004162772916489678
P('ask'|Spam) = 0.0005946818452128111
P('hardcopy'|Spam) = 4.247727465805794e-05
P('email'|Spam) = 0.006414068473366749
P('diana'|Spam) = 1.1803309648025306e-05
P('eade'|Spam) = 1.1803309648025306e-05
P(')'|Spam) = 0.004714977487044431
P('registration'|Spam) = 4.247727465805794e-05
P('form'|Spam) = 0.0012318409650836802
P('mr'|Spam) = 1.1803309648025306e-05
P('/'|Spam) = 0.006456545748024806
P('mrs'|Spam) = 1.1803309648025306e-05
P('/'|Spam) = 0.006456545748024806
P('ms'|Spam) = 1.1803309648025306e-05
P('/'|Spam) = 0.006456545748024806
P('miss'|Spam) = 0.00038229547192252146
P('/'|Spam) = 0.006456545748024806
P('dr'|Spam) = 4.247727465805794e-05
P('/'|Spam) = 0.006456545748024806
P('ass'|Spam) = 1.1803309648025306e-05
P('prof'|Spam) = 1.1803309648025306e-05
P('/'|Spam) = 0.006456545748024806
P('prof'|Spam) = 1.1803309648025306e-05
P('('|Spam) = 0.004162772916489678
P('please'|Spam) = 0.0025911137541415343
P('circle'|Spam) = 8.495454931611588e-05
P(')'|Spam) = 0.004714977487044431
P('male'|Spam) = 1.1803309648025306e-05
P('/'|Spam) = 0.006456545748024806
P('female'|Spam) = 1.1803309648025306e-05
P('('|Spam) = 0.004162772916489678
P('please'|Spam) = 0.0025911137541415343
P('circle'|Spam) = 8.495454931611588e-05
P(')'|Spam) = 0.004714977487044431
P('first'|Spam) = 0.0006371591198708691
P('name'|Spam) = 0.0030158865007221137
P(':'|Spam) = 0.008410500382295473
P('surname'|Spam) = 1.1803309648025306e-05
P(':'|Spam) = 0.008410500382295473
P('institution'|Spam) = 1.1803309648025306e-05
P(':'|Spam) = 0.008410500382295473
P('address'|Spam) = 0.005309659332257242
P(':'|Spam) = 0.008410500382295473
P('suburb'|Spam) = 1.1803309648025306e-05
P(':'|Spam) = 0.008410500382295473
P('state'|Spam) = 0.0009345000424772746
P(':'|Spam) = 0.008410500382295473
P('postcode'|Spam) = 1.1803309648025306e-05
P(':'|Spam) = 0.008410500382295473
P('country'|Spam) = 0.00016990909863223177
P(':'|Spam) = 0.008410500382295473
P('email'|Spam) = 0.006414068473366749
P(':'|Spam) = 0.008410500382295473
P('tel'|Spam) = 1.1803309648025306e-05
P(':'|Spam) = 0.008410500382295473
P('fax'|Spam) = 0.0015716591623481438
P(':'|Spam) = 0.008410500382295473
P('accommodation'|Spam) = 1.1803309648025306e-05
P('please'|Spam) = 0.0025911137541415343
P('organise'|Spam) = 1.1803309648025306e-05
P('accommodation'|Spam) = 1.1803309648025306e-05
P('following'|Spam) = 1.1803309648025306e-05
P('nights'|Spam) = 1.1803309648025306e-05
P(':'|Spam) = 0.008410500382295473
P('8th'|Spam) = 1.1803309648025306e-05
P('['|Spam) = 0.0028884546767479397
P(']'|Spam) = 0.0027610228527737662
P('9th'|Spam) = 4.247727465805794e-05
P('['|Spam) = 0.0028884546767479397
P(']'|Spam) = 0.0027610228527737662
P('10th'|Spam) = 1.1803309648025306e-05
P('['|Spam) = 0.0028884546767479397
P(']'|Spam) = 0.0027610228527737662
P('11th'|Spam) = 1.1803309648025306e-05
P('['|Spam) = 0.0028884546767479397
P(']'|Spam) = 0.0027610228527737662
P('12th'|Spam) = 1.1803309648025306e-05
P('['|Spam) = 0.0028884546767479397
P(']'|Spam) = 0.0027610228527737662
P('13th'|Spam) = 1.1803309648025306e-05
P('['|Spam) = 0.0028884546767479397
P(']'|Spam) = 0.0027610228527737662
P('mary'|Spam) = 4.247727465805794e-05
P('white'|Spam) = 1.1803309648025306e-05
P('college'|Spam) = 4.247727465805794e-05
P('('|Spam) = 0.004162772916489678
P('$'|Spam) = 0.015546682524849205
P('a43'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('0'|Spam) = 0.00785829581174072
P('per'|Spam) = 0.0013592727890578541
P('night'|Spam) = 0.0004672500212386373
P('include'|Spam) = 0.0013592727890578541
P('accommodation'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('breakfast'|Spam) = 4.247727465805794e-05
P('dinner'|Spam) = 4.247727465805794e-05
P(')'|Spam) = 0.004714977487044431
P('off'|Spam) = 0.0005946818452128111
P('campus'|Spam) = 1.1803309648025306e-05
P('accommodation'|Spam) = 1.1803309648025306e-05
P('those'|Spam) = 0.0007221136691869849
P('stay'|Spam) = 0.0002123863732902897
P('off'|Spam) = 0.0005946818452128111
P('campus'|Spam) = 1.1803309648025306e-05
P('need'|Spam) = 0.002081386458244839
P('vehicle'|Spam) = 4.247727465805794e-05
P('conference'|Spam) = 8.495454931611588e-05
P('venue'|Spam) = 1.1803309648025306e-05
P('.'|Spam) = 0.08032452637838756
P('caravan'|Spam) = 1.1803309648025306e-05
P('park'|Spam) = 8.495454931611588e-05
P('('|Spam) = 0.004162772916489678
P('accommodation'|Spam) = 1.1803309648025306e-05
P(')'|Spam) = 0.004714977487044431
P('caravan'|Spam) = 1.1803309648025306e-05
P('$'|Spam) = 0.015546682524849205
P('a30'|Spam) = 1.1803309648025306e-05
P('single'|Spam) = 1.1803309648025306e-05
P('$'|Spam) = 0.015546682524849205
P('a32'|Spam) = 1.1803309648025306e-05
P('double'|Spam) = 1.1803309648025306e-05
P('fully'|Spam) = 0.0002548636479483476
P('self'|Spam) = 0.00033981819726446353
P('contain'|Spam) = 0.00016990909863223177
P(','|Spam) = 0.033004842409311015
P('heat'|Spam) = 1.1803309648025306e-05
P('ensuite'|Spam) = 1.1803309648025306e-05
P('cabin'|Spam) = 1.1803309648025306e-05
P('$'|Spam) = 0.015546682524849205
P('a44'|Spam) = 1.1803309648025306e-05
P('single'|Spam) = 1.1803309648025306e-05
P('$'|Spam) = 0.015546682524849205
P('a46'|Spam) = 1.1803309648025306e-05
P('double'|Spam) = 1.1803309648025306e-05
P('motel'|Spam) = 1.1803309648025306e-05
P('('|Spam) = 0.004162772916489678
P('approximate'|Spam) = 1.1803309648025306e-05
P('single'|Spam) = 1.1803309648025306e-05
P('double'|Spam) = 1.1803309648025306e-05
P('accommodation'|Spam) = 1.1803309648025306e-05
P(')'|Spam) = 0.004714977487044431
P('$'|Spam) = 0.015546682524849205
P('a60'|Spam) = 1.1803309648025306e-05
P('per'|Spam) = 0.0013592727890578541
P('night'|Spam) = 0.0004672500212386373
P('$'|Spam) = 0.015546682524849205
P('a70'|Spam) = 1.1803309648025306e-05
P('per'|Spam) = 0.0013592727890578541
P('night'|Spam) = 0.0004672500212386373
P('yes'|Spam) = 0.0002548636479483476
P(','|Spam) = 0.033004842409311015
P('interest'|Spam) = 0.0006371591198708691
P('attend'|Spam) = 1.1803309648025306e-05
P('pre-conference'|Spam) = 1.1803309648025306e-05
P('tour'|Spam) = 1.1803309648025306e-05
P('dorrigo'|Spam) = 1.1803309648025306e-05
P('national'|Spam) = 0.00016990909863223177
P('park'|Spam) = 8.495454931611588e-05
P('sunday'|Spam) = 1.1803309648025306e-05
P('9th'|Spam) = 4.247727465805794e-05
P('july'|Spam) = 1.1803309648025306e-05
P('10'|Spam) = 0.001953954634270665
P('.'|Spam) = 0.08032452637838756
P('00am'|Spam) = 1.1803309648025306e-05
P('-'|Spam) = 0.04727720669441848
P('5'|Spam) = 0.0016141364370062016
P('.'|Spam) = 0.08032452637838756
P('00pm'|Spam) = 1.1803309648025306e-05
P('approximately'|Spam) = 4.247727465805794e-05
P('$'|Spam) = 0.015546682524849205
P('a20'|Spam) = 1.1803309648025306e-05
P('per'|Spam) = 0.0013592727890578541
P('person'|Spam) = 0.00033981819726446353
P(','|Spam) = 0.033004842409311015
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('person'|Spam) = 0.00033981819726446353
P('/'|Spam) = 0.006456545748024806
P('s'|Spam) = 0.0013592727890578541
P('registration'|Spam) = 4.247727465805794e-05
P('form'|Spam) = 0.0012318409650836802
P('must'|Spam) = 0.0005946818452128111
P('receive'|Spam) = 0.002038909183586781
P('12th'|Spam) = 1.1803309648025306e-05
P('june'|Spam) = 1.1803309648025306e-05
P('1995'|Spam) = 1.1803309648025306e-05
P('('|Spam) = 0.004162772916489678
P('early'|Spam) = 1.1803309648025306e-05
P('bird'|Spam) = 1.1803309648025306e-05
P('discount'|Spam) = 8.495454931611588e-05
P('registration'|Spam) = 4.247727465805794e-05
P('close'|Spam) = 1.1803309648025306e-05
P('12th'|Spam) = 1.1803309648025306e-05
P('april'|Spam) = 4.247727465805794e-05
P('1995'|Spam) = 1.1803309648025306e-05
P(')'|Spam) = 0.004714977487044431
P('email'|Spam) = 0.006414068473366749
P('form'|Spam) = 0.0012318409650836802
P('.'|Spam) = 0.08032452637838756
P('send'|Spam) = 0.0029734092260640557
P('airmail'|Spam) = 1.1803309648025306e-05
P('address'|Spam) = 0.005309659332257242
P('below'|Spam) = 0.0004672500212386373
P('enclose'|Spam) = 0.0002123863732902897
P('cheque'|Spam) = 0.00016990909863223177
P('/'|Spam) = 0.006456545748024806
P('money'|Spam) = 0.003483136521960751
P('order'|Spam) = 0.005182227508283069
P('charge'|Spam) = 0.00033981819726446353
P('bankcard'|Spam) = 1.1803309648025306e-05
P('/'|Spam) = 0.006456545748024806
P('mastercard'|Spam) = 0.0005522045705547532
P('('|Spam) = 0.004162772916489678
P('delete'|Spam) = 0.0004672500212386373
P('one'|Spam) = 0.0025911137541415343
P(')'|Spam) = 0.004714977487044431
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('expiry'|Spam) = 1.1803309648025306e-05
P('deat'|Spam) = 0.0002548636479483476
P(':'|Spam) = 0.008410500382295473
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('/'|Spam) = 0.006456545748024806
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('name'|Spam) = 0.0030158865007221137
P('card'|Spam) = 0.0017415682609803755
P(':'|Spam) = 0.008410500382295473
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('_'|Spam) = 0.1741993033726956
P('registration'|Spam) = 4.247727465805794e-05
P(':'|Spam) = 0.008410500382295473
P('$'|Spam) = 0.015546682524849205
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('accommodation'|Spam) = 1.1803309648025306e-05
P(':'|Spam) = 0.008410500382295473
P('$'|Spam) = 0.015546682524849205
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('conference'|Spam) = 8.495454931611588e-05
P('dinner'|Spam) = 4.247727465805794e-05
P('$'|Spam) = 0.015546682524849205
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('.'|Spam) = 0.08032452637838756
P('earlybird'|Spam) = 1.1803309648025306e-05
P('discount'|Spam) = 8.495454931611588e-05
P(':'|Spam) = 0.008410500382295473
P('minus'|Spam) = 1.1803309648025306e-05
P('$'|Spam) = 0.015546682524849205
P('a20'|Spam) = 1.1803309648025306e-05
P('('|Spam) = 0.004162772916489678
P('post'|Spam) = 0.0002548636479483476
P('before'|Spam) = 0.0007221136691869849
P('12th'|Spam) = 1.1803309648025306e-05
P('april'|Spam) = 4.247727465805794e-05
P(')'|Spam) = 0.004714977487044431
P('total'|Spam) = 0.0010194545917933905
P(':'|Spam) = 0.008410500382295473
P('$'|Spam) = 0.015546682524849205
P('please'|Spam) = 0.0025911137541415343
P('cheque'|Spam) = 0.00016990909863223177
P('payable'|Spam) = 0.00038229547192252146
P('university'|Spam) = 4.247727465805794e-05
P('england'|Spam) = 4.247727465805794e-05
P('.'|Spam) = 0.08032452637838756
P('return'|Spam) = 0.00038229547192252146
P('complete'|Spam) = 0.0008070682185031008
P('registration'|Spam) = 4.247727465805794e-05
P('form'|Spam) = 0.0012318409650836802
P(':'|Spam) = 0.008410500382295473
P('market'|Spam) = 0.0009345000424772746
P('executive'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('england'|Spam) = 4.247727465805794e-05
P('conference'|Spam) = 8.495454931611588e-05
P('management'|Spam) = 0.0005097272958966952
P(','|Spam) = 0.033004842409311015
P('university'|Spam) = 4.247727465805794e-05
P('england'|Spam) = 4.247727465805794e-05
P(','|Spam) = 0.033004842409311015
P('armidale'|Spam) = 1.1803309648025306e-05
P('nsw'|Spam) = 1.1803309648025306e-05
P('2351'|Spam) = 1.1803309648025306e-05
P('unable'|Spam) = 8.495454931611588e-05
P('accept'|Spam) = 0.0004672500212386373
P('registration'|Spam) = 4.247727465805794e-05
P('email'|Spam) = 0.006414068473366749
P(','|Spam) = 0.033004842409311015
P('send'|Spam) = 0.0029734092260640557
P('airmail'|Spam) = 1.1803309648025306e-05
P('please'|Spam) = 0.0025911137541415343
P('.'|Spam) = 0.08032452637838756
P('further'|Spam) = 0.00029734092260640555
P('information'|Spam) = 0.0024212046555093024
P('further'|Spam) = 0.00029734092260640555
P('information'|Spam) = 0.0024212046555093024
P('please'|Spam) = 0.0025911137541415343
P('contact'|Spam) = 0.0004672500212386373
P('conference'|Spam) = 8.495454931611588e-05
P('co-ordinator'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('diana'|Spam) = 1.1803309648025306e-05
P('eade'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
P('linguistic'|Spam) = 1.1803309648025306e-05
P('department'|Spam) = 1.1803309648025306e-05
P(','|Spam) = 0.033004842409311015
